Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
55 Cnc e,0.8,0.2,1.7545,50,0.2,0.8,1.6287,50,1.7532,non-habitable
61 Vir b,0.9,0.1,1.5931,49,0.1,0.9,1.9983,50,1.5972,non-habitable
alf Cen B b,0.8,0.2,1.0467,50,0.1,0.9,1.9052,50,1.0553,non-habitable
BD+20 594 b,0.9,0.1,2.139,50,0.3,0.7,0.3862,51,2.1215,non-habitable
BD-06 1339 b,0.9,0.1,1.8278,52,0.1,0.9,2.2461,51,1.832,non-habitable
CoRoT-7 b,0.9,0.1,1.6629,52,0.2,0.8,1.5561,49,1.6618,non-habitable
CoRoT-7 c,0.9,0.1,1.8192,49,0.1,0.9,1.9798,52,1.8208,non-habitable
EPIC-206011691 b,0.9,0.1,1.5283,52,0.3,0.7,0.3348,49,1.5164,non-habitable
EPIC-206011691 c,0.8,0.2,1.7592,50,0.2,0.8,0.5595,50,1.7472,non-habitable
EPIC 201295312 b,0.9,0.1,2.3459,49,0.1,0.9,2.3523,49,2.346,non-habitable
EPIC 201445392 c,0.6,0.4,2.056,49,0.1,0.9,2.0593,49,2.056,non-habitable
EPIC 201637175 b,0.1,0.9,16.6371,50,0.1,0.9,3.0978,49,16.5017,non-habitable
EPIC 201713348 b,0.8,0.2,1.2411,49,0.1,0.9,2.2141,53,1.2508,non-habitable
EPIC 203826436 b,0.9,0.1,1.547,50,0.1,0.9,1.8572,49,1.5501,non-habitable
EPIC 204221263 b,0.9,0.1,1.4908,49,0.1,0.9,2.1865,49,1.4978,non-habitable
EPIC 204221263 c,0.9,0.1,2.3262,51,0.1,0.9,1.7848,49,2.3208,non-habitable
EPIC 211822797 b,0.9,0.1,2.1461,49,0.1,0.9,0.8724,49,2.1334,non-habitable
EPIC 211913977 b,0.9,0.1,1.9329,49,0.2,0.8,0.6802,50,1.9204,non-habitable
EPIC 211969807 b,0.9,0.1,1.8192,50,0.1,0.9,1.4569,52,1.8156,non-habitable
EPIC 211970147 b,0.8,0.2,1.2561,52,0.1,0.9,1.2042,49,1.2556,non-habitable
EPIC 220674823 b,0.7,0.3,1.3111,49,0.2,0.8,1.8121,51,1.3161,non-habitable
GJ 15 A b,0.9,0.1,1.6204,49,0.2,0.8,0.4765,49,1.609,non-habitable
GJ 163 c,0.9,0.1,1.7529,49,0.1,0.9,0.5789,51,1.7412,psychroplanet
GJ 176 b,0.9,0.1,1.8192,52,0.2,0.8,0.5666,50,1.8067,non-habitable
GJ 180 b,0.9,0.1,1.8091,50,0.1,0.9,0.6565,49,1.7976,mesoplanet
GJ 180 c,0.9,0.1,1.6968,52,0.3,0.7,0.2185,51,1.682,mesoplanet
GJ 273 b,0.8,0.2,1.3238,53,0.3,0.7,0.2124,49,1.3127,mesoplanet
GJ 273 c,0.8,0.2,1.0567,50,0.2,0.8,0.4691,50,1.0508,non-habitable
GJ 422 b,0.8,0.2,1.8146,52,0.1,0.9,0.5924,49,1.8024,mesoplanet
GJ 433 b,0.9,0.1,1.6118,51,0.1,0.9,0.8934,53,1.6046,non-habitable
GJ 536 b,0.9,0.1,1.6219,50,0.1,0.9,0.9642,49,1.6153,non-habitable
GJ 581 c,0.9,0.1,1.6219,49,0.1,0.9,0.725,49,1.6129,non-habitable
GJ 581 e,0.9,0.1,1.2337,49,0.1,0.9,1.0182,50,1.2315,non-habitable
GJ 649 c,0.9,0.1,1.8753,49,0.1,0.9,1.1383,49,1.8679,non-habitable
GJ 667 C b,0.9,0.1,1.6391,49,0.3,0.7,0.2889,49,1.6256,non-habitable
GJ 667 C c,0.6,0.4,1.3213,49,0.1,0.9,0.5908,51,1.314,mesoplanet
GJ 667 C d,0.9,0.1,1.6017,49,0.3,0.7,0.1719,49,1.5874,non-habitable
GJ 667 C e,0.9,0.1,1.3523,49,0.1,0.9,0.4737,50,1.3435,psychroplanet
GJ 667 C f,0.9,0.1,1.3523,50,0.2,0.8,0.3161,50,1.3419,psychroplanet
GJ 667 C g,0.9,0.1,1.5556,53,0.1,0.9,0.3495,51,1.5435,non-habitable
GJ 676 A d,0.9,0.1,1.5383,51,0.1,0.9,1.3916,49,1.5368,non-habitable
GJ 682 b,0.7,0.3,1.422,50,0.1,0.9,0.6828,49,1.4146,non-habitable
GJ 682 c,0.9,0.1,1.8379,49,0.1,0.9,0.5237,50,1.8248,psychroplanet
GJ 832 c,0.7,0.3,1.4938,49,0.2,0.8,0.3698,49,1.4826,mesoplanet
GJ 876 d,0.9,0.1,1.7342,49,0.1,0.9,1.2764,49,1.7296,non-habitable
GJ 1132 b,0.9,0.1,1.1407,49,0.1,0.9,1.059,51,1.1399,non-habitable
GJ 1214 b,0.9,0.1,2.1727,49,0.1,0.9,1.0745,50,2.1617,non-habitable
GJ 3138 b,0.8,0.2,1.4615,52,0.2,0.8,0.5748,52,1.4526,non-habitable
GJ 3138 c,0.9,0.1,1.2061,49,0.2,0.8,0.8019,50,1.2021,non-habitable
GJ 3293 d,0.8,0.2,1.6966,51,0.2,0.8,0.3461,49,1.6831,psychroplanet
GJ 3293 e,0.8,0.2,1.3664,50,0.3,0.7,0.2489,50,1.3552,non-habitable
GJ 3323 b,0.9,0.1,1.2424,52,0.2,0.8,0.3492,51,1.2335,mesoplanet
GJ 3323 c,0.8,0.2,1.2561,52,0.2,0.8,0.2259,51,1.2458,non-habitable
GJ 3341 b,0.9,0.1,1.7054,50,0.1,0.9,0.8013,49,1.6964,non-habitable
GJ 3634 b,0.9,0.1,1.8091,51,0.2,0.8,0.68,51,1.7978,non-habitable
GJ 3998 b,0.9,0.1,1.3162,51,0.1,0.9,1.3216,51,1.3163,non-habitable
GJ 3998 c,0.8,0.2,1.6164,51,0.2,0.8,0.5019,49,1.6053,non-habitable
HD 1461 b,0.9,0.1,1.6968,52,0.2,0.8,1.0705,49,1.6905,non-habitable
HD 1461 c,0.8,0.2,1.5712,49,0.1,0.9,1.5746,49,1.5712,non-habitable
HD 3167 b,0.7,0.3,1.4119,49,0.1,0.9,2.8161,52,1.4259,non-habitable
HD 7924 c,0.8,0.2,1.7141,49,0.1,0.9,1.2546,50,1.7095,non-habitable
HD 7924 d,0.9,0.1,1.6968,51,0.1,0.9,1.0895,49,1.6907,non-habitable
HD 20794 b,0.9,0.1,1.3523,51,0.2,0.8,0.6998,49,1.3458,non-habitable
HD 20794 c,0.9,0.1,1.3074,50,0.1,0.9,1.0404,49,1.3047,non-habitable
HD 20794 d,0.9,0.1,1.5744,49,0.1,0.9,0.8578,52,1.5672,non-habitable
HD 39194 b,0.9,0.1,1.4721,49,0.1,0.9,1.6898,51,1.4743,non-habitable
HD 39194 c,0.9,0.1,1.668,53,0.1,0.9,1.3309,51,1.6646,non-habitable
HD 39194 d,0.8,0.2,1.539,49,0.1,0.9,1.032,49,1.5339,non-habitable
HD 40307 b,0.8,0.2,1.4264,51,0.1,0.9,1.5744,52,1.4279,non-habitable
HD 40307 c,0.8,0.2,1.6266,49,0.1,0.9,1.2839,52,1.6232,non-habitable
HD 40307 d,0.7,0.3,1.684,53,0.1,0.9,1.0559,50,1.6777,non-habitable
HD 40307 e,0.8,0.2,1.3914,50,0.1,0.9,0.879,49,1.3863,non-habitable
HD 40307 f,0.9,0.1,1.4634,49,0.1,0.9,0.7879,52,1.4566,non-habitable
HD 40307 g,0.9,0.1,1.7428,49,0.1,0.9,0.5745,50,1.7311,psychroplanet
HD 85512 b,0.9,0.1,1.4447,49,0.2,0.8,0.3977,49,1.4342,non-habitable
HD 93385 b,0.7,0.3,1.6635,49,0.3,0.7,0.5056,51,1.6519,non-habitable
HD 96700 b,0.9,0.1,1.848,52,0.1,0.9,1.9568,50,1.8491,non-habitable
HD 97658 b,0.9,0.1,1.9933,53,0.1,0.9,1.3914,49,1.9873,non-habitable
HD 106315 b,0.9,0.1,1.9916,51,0.2,0.8,1.0215,49,1.9819,non-habitable
HD 134606 b,0.8,0.2,1.7869,49,0.2,0.8,0.9047,49,1.7781,non-habitable
HD 136352 b,0.7,0.3,1.4836,51,0.1,0.9,1.6487,50,1.4853,non-habitable
HD 136352 d,0.9,0.1,1.8753,49,0.2,0.8,0.5317,50,1.8619,non-habitable
HD 154088 b,0.7,0.3,1.5429,51,0.1,0.9,1.3197,49,1.5407,non-habitable
HD 156668 b,0.9,0.1,1.5182,50,0.1,0.9,1.5819,49,1.5188,non-habitable
HD 175607 b,0.6,0.4,1.6222,52,0.1,0.9,1.0748,53,1.6167,non-habitable
HD 181433 b,0.9,0.1,1.7716,49,0.1,0.9,1.3612,52,1.7675,non-habitable
HD 215152 b,0.9,0.1,1.3624,49,0.1,0.9,1.3775,50,1.3626,non-habitable
HD 215152 c,0.9,0.1,1.3985,49,0.1,0.9,1.2335,49,1.3969,non-habitable
HD 215497 b,0.9,0.1,1.6953,49,0.1,0.9,1.9004,53,1.6974,non-habitable
HD 219134 b,0.9,0.1,1.5139,51,0.3,0.7,0.4875,49,1.5036,non-habitable
HD 219134 c,0.9,0.1,1.4447,49,0.2,0.8,0.7602,53,1.4379,non-habitable
HD 219134 e,0.9,0.1,1.4721,53,0.1,0.9,0.3363,50,1.4607,non-habitable
HIP 68468 b,0.8,0.2,1.3914,49,0.2,0.8,1.3646,49,1.3911,non-habitable
HIP 116454 b,0.9,0.1,2.2343,51,0.1,0.9,1.2721,52,2.2247,non-habitable
K2-3 b,0.9,0.1,2.0885,49,0.2,0.8,0.6138,49,2.0738,non-habitable
K2-3 c,0.9,0.1,1.7716,49,0.1,0.9,0.7917,49,1.7618,non-habitable
K2-3 d,0.1,0.9,2.8886,51,0.2,0.8,0.4369,53,2.8641,non-habitable
K2-4 b,0.8,0.2,2.1854,51,0.1,0.9,1.158,49,2.1751,non-habitable
K2-5 b,0.7,0.3,1.6738,49,0.2,0.8,0.6837,51,1.6639,non-habitable
K2-5 c,0.8,0.2,2.0765,49,0.2,0.8,0.6185,52,2.0619,non-habitable
K2-6 b,0.8,0.2,2.3198,49,0.1,0.9,1.2939,50,2.3095,non-habitable
K2-8 c,0.8,0.2,2.226,49,0.1,0.9,1.6824,49,2.2206,non-habitable
K2-9 b,0.8,0.2,2.0664,50,0.1,0.9,0.697,52,2.0527,thermoplanet
K2-10 b,0.8,0.2,2.5335,53,0.1,0.9,1.3984,49,2.5221,non-habitable
K2-12 b,0.9,0.1,2.2355,53,0.1,0.9,1.8591,50,2.2317,non-habitable
K2-13 b,0.7,0.3,1.6574,49,0.1,0.9,1.0517,50,1.6513,non-habitable
K2-15 b,0.9,0.1,2.3881,49,0.1,0.9,1.3622,49,2.3778,non-habitable
K2-16 b,0.8,0.2,1.8496,49,0.3,0.7,0.4386,49,1.8355,non-habitable
K2-17 b,0.8,0.2,2.0489,52,0.1,0.9,1.0223,51,2.0386,non-habitable
K2-18 b,0.8,0.2,2.0562,49,0.1,0.9,0.6455,51,2.0421,mesoplanet
K2-19 d,0.9,0.1,1.1146,49,0.1,0.9,2.1176,53,1.1246,non-habitable
K2-21 b,0.9,0.1,1.5283,49,0.2,0.8,0.5987,51,1.519,non-habitable
K2-21 c,0.7,0.3,1.684,50,0.1,0.9,0.9614,49,1.6768,non-habitable
K2-22 b,0.1,0.9,22.3296,50,0.3,0.7,1.2236,49,22.1185,non-habitable
K2-28 b,0.9,0.1,2.2254,49,0.1,0.9,1.1664,49,2.2148,non-habitable
K2-33 b,0.2,0.8,8.1496,49,0.2,0.8,1.2467,49,8.0806,non-habitable
K2-35 b,0.9,0.1,1.3523,49,0.1,0.9,1.8274,49,1.3571,non-habitable
K2-35 c,0.9,0.1,2.0006,49,0.2,0.8,0.8568,49,1.9892,non-habitable
K2-36 b,0.9,0.1,1.28,50,0.1,0.9,2.2132,49,1.2893,non-habitable
K2-37 b,0.9,0.1,1.547,50,0.1,0.9,1.8552,49,1.5501,non-habitable
