Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
55 Cnc e,0.8,0.1,1.7443,49,0.1,0.8,2.6705,49,1.7536,non-habitable
61 Vir b,0.8,0.1,1.5143,53,0.1,0.8,1.7484,50,1.5166,non-habitable
alf Cen B b,0.8,0.1,1.059,49,0.1,0.8,1.6659,52,1.0651,non-habitable
BD+20 594 b,0.7,0.2,1.8936,52,0.1,0.7,0.982,49,1.8845,non-habitable
BD-06 1339 b,0.8,0.1,1.7132,50,0.1,0.8,1.944,50,1.7155,non-habitable
CoRoT-7 b,0.8,0.1,1.5797,49,0.1,0.8,2.5441,49,1.5893,non-habitable
CoRoT-7 c,0.8,0.1,1.7061,50,0.1,0.8,1.7375,49,1.7064,non-habitable
EPIC-206011691 b,0.8,0.1,1.459,49,0.1,0.8,1.0033,52,1.4544,non-habitable
EPIC-206011691 c,0.8,0.1,1.7218,49,0.1,0.8,0.9139,50,1.7137,non-habitable
EPIC 201295312 b,0.7,0.1,1.9176,49,0.1,0.8,2.0252,52,1.9187,non-habitable
EPIC 201445392 c,0.7,0.2,2.0385,49,0.1,0.8,1.8069,49,2.0362,non-habitable
EPIC 201637175 b,0.1,0.8,12.3132,52,0.1,0.8,2.6387,49,12.2165,non-habitable
EPIC 201713348 b,0.7,0.1,1.2108,52,0.1,0.8,1.9089,49,1.2178,non-habitable
EPIC 203826436 b,0.8,0.1,1.475,49,0.1,0.8,1.6374,49,1.4766,non-habitable
EPIC 204221263 b,0.8,0.1,1.4269,49,0.1,0.8,1.8919,49,1.4315,non-habitable
EPIC 204221263 c,0.8,0.1,2.1295,53,0.1,0.8,1.5913,49,2.1241,non-habitable
EPIC 211822797 b,0.8,0.1,1.9799,49,0.1,0.8,0.841,49,1.9685,non-habitable
EPIC 211913977 b,0.7,0.2,1.724,49,0.1,0.8,1.1026,50,1.7178,non-habitable
EPIC 211969807 b,0.8,0.1,1.7061,49,0.1,0.7,1.2013,53,1.7011,non-habitable
EPIC 211970147 b,0.8,0.1,1.26,49,0.1,0.8,1.1112,49,1.2585,non-habitable
EPIC 220674823 b,0.8,0.1,1.3563,49,0.1,0.8,3.072,51,1.3735,non-habitable
GJ 15 A b,0.8,0.1,1.5376,49,0.1,0.8,0.7925,49,1.5301,non-habitable
GJ 163 c,0.8,0.1,1.6501,50,0.1,0.2,0.6015,50,1.6396,psychroplanet
GJ 176 b,0.8,0.1,1.7061,51,0.1,0.8,0.9263,50,1.6983,non-habitable
GJ 180 b,0.8,0.1,1.6975,49,0.1,0.8,0.6513,50,1.687,mesoplanet
GJ 180 c,0.8,0.1,1.6026,49,0.1,0.1,0.604,50,1.5926,mesoplanet
GJ 273 b,0.8,0.1,1.3238,49,0.1,0.8,0.6173,50,1.3167,mesoplanet
GJ 273 c,0.8,0.1,1.0679,49,0.1,0.8,0.8233,50,1.0655,non-habitable
GJ 422 b,0.8,0.1,1.7703,49,0.1,0.2,0.6101,50,1.7587,mesoplanet
GJ 433 b,0.8,0.1,1.5303,49,0.1,0.8,0.8549,49,1.5235,non-habitable
GJ 536 b,0.8,0.1,1.539,49,0.1,0.8,0.9149,49,1.5328,non-habitable
GJ 581 c,0.8,0.1,1.539,49,0.1,0.8,0.7102,51,1.5307,non-habitable
GJ 581 e,0.7,0.1,1.1761,49,0.1,0.8,0.9565,50,1.1739,non-habitable
GJ 649 c,0.8,0.1,1.7532,50,0.1,0.8,1.063,49,1.7463,non-habitable
GJ 667 C b,0.8,0.1,1.5535,49,0.1,0.8,0.8289,49,1.5463,non-habitable
GJ 667 C c,0.8,0.1,1.4195,50,0.1,0.1,0.5935,49,1.4112,mesoplanet
GJ 667 C d,0.8,0.1,1.5216,49,0.1,0.1,0.5809,50,1.5122,non-habitable
GJ 667 C e,0.8,0.1,1.3076,49,0.1,0.1,0.5729,49,1.3003,psychroplanet
GJ 667 C f,0.8,0.1,1.3076,50,0.1,0.1,0.5805,49,1.3003,psychroplanet
GJ 667 C g,0.8,0.1,1.4824,49,0.1,0.1,0.5635,49,1.4732,non-habitable
GJ 676 A d,0.7,0.2,1.4111,49,0.1,0.8,1.2668,51,1.4097,non-habitable
GJ 682 b,0.8,0.1,1.4677,49,0.1,0.8,0.6727,49,1.4597,non-habitable
GJ 682 c,0.7,0.1,1.6131,50,0.1,0.1,0.6017,50,1.603,psychroplanet
GJ 832 c,0.8,0.1,1.539,51,0.1,0.8,0.6145,49,1.5298,mesoplanet
GJ 876 d,0.8,0.1,1.6343,49,0.1,0.8,1.1753,53,1.6297,non-habitable
GJ 1132 b,0.8,0.1,1.1248,53,0.1,0.8,0.9901,50,1.1235,non-habitable
GJ 1214 b,0.7,0.1,1.7853,50,0.1,0.8,1.0059,49,1.7775,non-habitable
GJ 3138 b,0.8,0.1,1.4517,49,0.1,0.8,0.9643,49,1.4468,non-habitable
GJ 3138 c,0.8,0.1,1.1805,50,0.1,0.8,1.3871,53,1.1826,non-habitable
GJ 3293 d,0.8,0.1,1.6659,49,0.1,0.2,0.5987,49,1.6552,psychroplanet
GJ 3293 e,0.8,0.1,1.3637,49,0.1,0.8,0.733,49,1.3574,non-habitable
GJ 3323 b,0.8,0.1,1.2121,49,0.1,0.8,0.6016,50,1.206,mesoplanet
GJ 3323 c,0.8,0.1,1.26,49,0.1,0.1,0.5544,49,1.2529,non-habitable
GJ 3341 b,0.8,0.1,1.6098,49,0.1,0.8,0.7768,52,1.6015,non-habitable
GJ 3634 b,0.8,0.1,1.6975,51,0.1,0.8,1.1129,49,1.6917,non-habitable
GJ 3998 b,0.8,0.1,1.2763,53,0.1,0.8,1.2072,49,1.2756,non-habitable
GJ 3998 c,0.8,0.1,1.594,49,0.1,0.8,0.8297,52,1.5864,non-habitable
HD 1461 b,0.8,0.1,1.6026,49,0.1,0.8,1.7678,49,1.6043,non-habitable
HD 1461 c,0.7,0.2,1.4892,49,0.1,0.8,1.4151,50,1.4885,non-habitable
HD 3167 b,0.8,0.1,1.459,49,0.1,0.8,2.3701,49,1.4681,non-habitable
HD 7924 c,0.7,0.2,1.6101,49,0.1,0.8,1.158,49,1.6056,non-habitable
HD 7924 d,0.8,0.1,1.6026,50,0.1,0.7,0.9562,49,1.5961,non-habitable
HD 20794 b,0.7,0.1,1.2643,49,0.1,0.7,1.0915,49,1.2626,non-habitable
HD 20794 c,0.7,0.1,1.2313,50,0.1,0.8,0.9758,50,1.2287,non-habitable
HD 20794 d,0.8,0.1,1.4984,49,0.1,0.8,0.8243,49,1.4917,non-habitable
HD 39194 b,0.8,0.1,1.4108,53,0.1,0.7,1.3392,49,1.4101,non-habitable
HD 39194 c,0.8,0.1,1.5781,50,0.1,0.8,1.2189,49,1.5745,non-habitable
HD 39194 d,0.8,0.1,1.523,49,0.1,0.7,0.915,50,1.5169,non-habitable
HD 40307 b,0.8,0.1,1.4195,49,0.1,0.8,1.4129,49,1.4194,non-habitable
HD 40307 c,0.8,0.1,1.6026,50,0.1,0.8,1.181,49,1.5984,non-habitable
HD 40307 d,0.8,0.1,1.7218,49,0.1,0.8,0.9938,50,1.7145,non-habitable
HD 40307 e,0.8,0.1,1.3873,51,0.1,0.8,0.8413,51,1.3818,non-habitable
HD 40307 f,0.8,0.1,1.4034,49,0.1,0.8,0.7634,49,1.397,non-habitable
HD 40307 g,0.8,0.1,1.6415,49,0.1,0.1,0.604,50,1.6311,psychroplanet
HD 85512 b,0.8,0.1,1.3873,51,0.1,0.8,0.6714,53,1.3801,non-habitable
HD 93385 b,0.8,0.1,1.7047,49,0.1,0.8,1.5154,49,1.7028,non-habitable
HD 96700 b,0.8,0.1,1.7304,49,0.1,0.7,1.512,49,1.7282,non-habitable
HD 97658 b,0.8,0.1,1.838,50,0.1,0.8,1.2679,49,1.8323,non-habitable
HD 106315 b,0.8,0.1,1.8381,49,0.1,0.8,1.6888,50,1.8366,non-habitable
HD 134606 b,0.8,0.1,1.7461,49,0.1,0.8,1.4743,49,1.7434,non-habitable
HD 136352 b,0.8,0.1,1.5303,49,0.1,0.8,1.4739,49,1.5297,non-habitable
HD 136352 d,0.8,0.1,1.7532,49,0.1,0.7,0.8291,49,1.744,non-habitable
HD 154088 b,0.8,0.1,1.5867,49,0.1,0.8,1.21,49,1.5829,non-habitable
HD 156668 b,0.7,0.2,1.3935,50,0.1,0.8,1.4193,49,1.3938,non-habitable
HD 175607 b,0.8,0.1,1.7304,49,0.1,0.8,1.0098,50,1.7232,non-habitable
HD 181433 b,0.8,0.1,1.6659,49,0.1,0.8,1.2448,49,1.6617,non-habitable
HD 215152 b,0.8,0.1,1.3164,49,0.1,0.8,1.253,49,1.3158,non-habitable
HD 215152 c,0.8,0.1,1.3475,49,0.1,0.8,1.1363,49,1.3454,non-habitable
HD 215497 b,0.8,0.1,1.6012,52,0.1,0.8,1.6735,49,1.6019,non-habitable
HD 219134 b,0.8,0.1,1.4444,49,0.1,0.8,1.5672,50,1.4456,non-habitable
HD 219134 c,0.8,0.1,1.3873,51,0.1,0.8,1.2835,49,1.3863,non-habitable
HD 219134 e,0.8,0.1,1.4108,49,0.1,0.1,0.5572,49,1.4023,non-habitable
HIP 68468 b,0.8,0.1,1.3873,50,0.1,0.8,2.3042,50,1.3965,non-habitable
HIP 116454 b,0.7,0.1,1.8557,50,0.1,0.8,1.173,51,1.8489,non-habitable
K2-3 b,0.8,0.1,1.9319,49,0.1,0.8,0.9832,51,1.9224,non-habitable
K2-3 c,0.7,0.2,1.5954,50,0.1,0.7,0.747,53,1.5869,non-habitable
K2-3 d,0.1,0.8,2.5796,49,0.1,0.8,0.6972,49,2.5608,non-habitable
K2-4 b,0.8,0.1,2.0877,49,0.1,0.8,1.0829,49,2.0777,non-habitable
K2-5 b,0.8,0.1,1.7132,49,0.1,0.8,1.1173,49,1.7072,non-habitable
K2-5 c,0.8,0.1,1.9967,50,0.1,0.8,0.9847,49,1.9866,non-habitable
K2-6 b,0.8,0.1,2.1974,49,0.1,0.8,1.1964,49,2.1874,non-habitable
