Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
55 Cnc e,0.9,0.1,1.8685,0.1,0.9,3.2119,1.8819,non-habitable
61 Vir b,0.9,0.1,1.5931,0.1,0.9,1.9983,1.5972,non-habitable
alf Cen B b,0.9,0.1,1.0681,0.1,0.9,1.9052,1.0765,non-habitable
BD+20 594 b,0.9,0.1,2.139,0.1,0.9,1.1162,2.1288,non-habitable
BD-06 1339 b,0.8,0.2,1.7491,0.1,0.9,2.2461,1.7541,non-habitable
CoRoT-7 b,0.9,0.1,1.6629,0.1,0.9,3.0403,1.6767,non-habitable
CoRoT-7 c,0.9,0.1,1.8192,0.1,0.9,1.9798,1.8208,non-habitable
EPIC-206011691 b,0.9,0.1,1.5283,0.1,0.9,1.0706,1.5237,non-habitable
EPIC-206011691 c,0.9,0.1,1.8379,0.1,0.9,0.9609,1.8291,non-habitable
EPIC 201295312 b,0.9,0.1,2.3459,0.1,0.9,2.3523,2.346,non-habitable
EPIC 201445392 c,0.9,0.1,2.3162,0.1,0.9,2.0593,2.3136,non-habitable
EPIC 201637175 b,0.1,0.9,16.6371,0.2,0.8,1.9298,16.49,non-habitable
EPIC 201713348 b,0.9,0.1,1.28,0.1,0.9,2.2141,1.2893,non-habitable
EPIC 203826436 b,0.9,0.1,1.547,0.1,0.9,1.8572,1.5501,non-habitable
EPIC 204221263 b,0.9,0.1,1.4908,0.1,0.9,2.1865,1.4978,non-habitable
EPIC 204221263 c,0.9,0.1,2.3262,0.1,0.9,1.7848,2.3208,non-habitable
EPIC 211822797 b,0.9,0.1,2.1461,0.1,0.9,0.8724,2.1334,non-habitable
EPIC 211913977 b,0.9,0.1,1.9329,0.1,0.9,1.1856,1.9254,non-habitable
EPIC 211969807 b,0.9,0.1,1.8192,0.1,0.9,1.4569,1.8156,non-habitable
EPIC 211970147 b,0.8,0.2,1.2561,0.1,0.9,1.2042,1.2556,non-habitable
EPIC 220674823 b,0.9,0.1,1.4086,0.1,0.9,3.7757,1.4323,non-habitable
GJ 15 A b,0.9,0.1,1.6204,0.1,0.9,0.8203,1.6124,non-habitable
GJ 163 c,0.9,0.1,1.7529,0.2,0.8,0.3539,1.7389,psychroplanet
GJ 176 b,0.9,0.1,1.8192,0.1,0.9,0.9756,1.8108,non-habitable
GJ 180 b,0.9,0.1,1.8091,0.1,0.9,0.6565,1.7976,mesoplanet
GJ 180 c,0.9,0.1,1.6968,0.1,0.9,0.5939,1.6858,mesoplanet
GJ 273 b,0.9,0.1,1.3711,0.1,0.9,0.621,1.3636,mesoplanet
GJ 273 c,0.9,0.1,1.0781,0.1,0.9,0.8621,1.0759,non-habitable
GJ 422 b,0.9,0.1,1.8955,0.1,0.9,0.5924,1.8825,mesoplanet
GJ 433 b,0.9,0.1,1.6118,0.1,0.9,0.8934,1.6046,non-habitable
GJ 536 b,0.9,0.1,1.6219,0.1,0.9,0.9642,1.6153,non-habitable
GJ 581 c,0.9,0.1,1.6219,0.1,0.9,0.725,1.6129,non-habitable
GJ 581 e,0.9,0.1,1.2337,0.1,0.9,1.0182,1.2315,non-habitable
GJ 649 c,0.9,0.1,1.8753,0.1,0.9,1.1383,1.8679,non-habitable
GJ 667 C b,0.9,0.1,1.6391,0.1,0.9,0.8626,1.6313,non-habitable
GJ 667 C c,0.9,0.1,1.4821,0.1,0.9,0.5908,1.4732,mesoplanet
GJ 667 C d,0.9,0.1,1.6017,0.1,0.9,0.4466,1.5901,non-habitable
GJ 667 C e,0.9,0.1,1.3523,0.1,0.9,0.4737,1.3435,psychroplanet
GJ 667 C f,0.9,0.1,1.3523,0.1,0.9,0.533,1.3441,psychroplanet
GJ 667 C g,0.9,0.1,1.5556,0.1,0.9,0.3495,1.5435,non-habitable
