Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
55 Cnc e,0.8,0.2,1.7545,49,0.1,0.9,3.2119,49,1.7691,non-habitable
61 Vir b,0.9,0.1,1.5931,50,0.1,0.9,1.9983,49,1.5972,non-habitable
alf Cen B b,0.9,0.1,1.0681,49,0.1,0.9,1.9052,50,1.0765,non-habitable
BD+20 594 b,0.9,0.1,2.139,49,0.2,0.8,0.6566,49,2.1242,non-habitable
BD-06 1339 b,0.9,0.1,1.8278,51,0.1,0.9,2.2461,49,1.832,non-habitable
CoRoT-7 b,0.9,0.1,1.6629,50,0.1,0.9,3.0403,49,1.6767,non-habitable
CoRoT-7 c,0.9,0.1,1.8192,49,0.1,0.9,1.9798,49,1.8208,non-habitable
EPIC-206011691 b,0.9,0.1,1.5283,50,0.1,0.9,1.0706,49,1.5237,non-habitable
EPIC-206011691 c,0.9,0.1,1.8379,50,0.1,0.9,0.9609,49,1.8291,non-habitable
EPIC 201295312 b,0.9,0.1,2.3459,49,0.2,0.8,1.2381,49,2.3348,non-habitable
EPIC 201445392 c,0.8,0.2,2.226,49,0.1,0.9,2.0593,49,2.2243,non-habitable
EPIC 201637175 b,0.1,0.9,16.6371,50,0.1,0.9,3.0978,52,16.5017,non-habitable
EPIC 201713348 b,0.9,0.1,1.28,49,0.1,0.9,2.2141,49,1.2893,non-habitable
EPIC 203826436 b,0.9,0.1,1.547,49,0.1,0.9,1.8572,50,1.5501,non-habitable
EPIC 204221263 b,0.9,0.1,1.4908,49,0.1,0.9,2.1865,49,1.4978,non-habitable
EPIC 204221263 c,0.9,0.1,2.3262,53,0.1,0.9,1.7848,49,2.3208,non-habitable
EPIC 211822797 b,0.9,0.1,2.1461,49,0.1,0.9,0.8724,50,2.1334,non-habitable
EPIC 211913977 b,0.9,0.1,1.9329,51,0.1,0.9,1.1856,49,1.9254,non-habitable
EPIC 211969807 b,0.9,0.1,1.8192,49,0.1,0.9,1.4569,49,1.8156,non-habitable
EPIC 211970147 b,0.9,0.1,1.2974,49,0.1,0.9,1.2042,50,1.2965,non-habitable
EPIC 220674823 b,0.9,0.1,1.4086,50,0.1,0.9,3.7757,49,1.4323,non-habitable
GJ 15 A b,0.9,0.1,1.6204,49,0.2,0.8,0.4765,49,1.609,non-habitable
GJ 163 c,0.9,0.1,1.7529,51,0.1,0.9,0.5789,51,1.7412,psychroplanet
GJ 176 b,0.9,0.1,1.8192,49,0.1,0.9,0.9756,50,1.8108,non-habitable
GJ 180 b,0.9,0.1,1.8091,49,0.1,0.9,0.6565,49,1.7976,mesoplanet
GJ 180 c,0.9,0.1,1.6968,49,0.2,0.8,0.3602,49,1.6834,mesoplanet
