Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
55 Cnc e,0.8,0.1,1.7443,0.1,0.8,2.6705,1.7536,non-habitable
61 Vir b,0.8,0.1,1.5143,0.1,0.8,1.7484,1.5166,non-habitable
alf Cen B b,0.8,0.1,1.059,0.1,0.8,1.6659,1.0651,non-habitable
BD+20 594 b,0.8,0.1,1.9741,0.1,0.8,1.0469,1.9648,non-habitable
BD-06 1339 b,0.8,0.1,1.7132,0.1,0.8,1.944,1.7155,non-habitable
CoRoT-7 b,0.8,0.1,1.5797,0.1,0.8,2.5441,1.5893,non-habitable
CoRoT-7 c,0.8,0.1,1.7061,0.1,0.8,1.7375,1.7064,non-habitable
EPIC-206011691 b,0.8,0.1,1.459,0.1,0.7,0.9402,1.4538,non-habitable
EPIC-206011691 c,0.7,0.2,1.6481,0.1,0.8,0.9139,1.6408,non-habitable
EPIC 201295312 b,0.8,0.1,2.121,0.1,0.8,2.0252,2.12,non-habitable
EPIC 201445392 c,0.8,0.1,2.1211,0.1,0.8,1.8069,2.118,non-habitable
EPIC 201637175 b,0.1,0.8,12.3132,0.1,0.7,2.2477,12.2125,non-habitable
EPIC 201713348 b,0.8,0.1,1.2449,0.1,0.8,1.9089,1.2515,non-habitable
EPIC 203826436 b,0.8,0.1,1.475,0.1,0.8,1.6374,1.4766,non-habitable
EPIC 204221263 b,0.8,0.1,1.4269,0.1,0.8,1.8919,1.4315,non-habitable
EPIC 204221263 c,0.8,0.1,2.1295,0.1,0.8,1.5913,2.1241,non-habitable
EPIC 211822797 b,0.8,0.1,1.9799,0.1,0.8,0.841,1.9685,non-habitable
EPIC 211913977 b,0.8,0.1,1.8017,0.1,0.8,1.1026,1.7947,non-habitable
EPIC 211969807 b,0.8,0.1,1.7061,0.1,0.8,1.3229,1.7023,non-habitable
EPIC 211970147 b,0.8,0.1,1.26,0.1,0.8,1.1112,1.2585,non-habitable
EPIC 220674823 b,0.8,0.1,1.3563,0.1,0.8,3.072,1.3735,non-habitable
GJ 15 A b,0.8,0.1,1.5376,0.1,0.8,0.7925,1.5301,non-habitable
GJ 163 c,0.8,0.1,1.6501,0.1,0.1,0.6048,1.6396,psychroplanet
GJ 176 b,0.8,0.1,1.7061,0.1,0.8,0.9263,1.6983,non-habitable
GJ 180 b,0.8,0.1,1.6975,0.1,0.8,0.6513,1.687,mesoplanet
GJ 180 c,0.8,0.1,1.6026,0.1,0.1,0.604,1.5926,mesoplanet
