Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
55 Cnc e,0.8,0.1,1.7443,50,0.1,0.7,2.2204,50,1.7491,non-habitable
61 Vir b,0.8,0.1,1.5143,49,0.1,0.8,1.7484,50,1.5166,non-habitable
alf Cen B b,0.7,0.1,1.0499,49,0.1,0.8,1.6659,52,1.0561,non-habitable
BD+20 594 b,0.8,0.1,1.9741,49,0.1,0.6,0.921,49,1.9636,non-habitable
BD-06 1339 b,0.8,0.1,1.7132,49,0.1,0.8,1.944,50,1.7155,non-habitable
CoRoT-7 b,0.8,0.1,1.5797,49,0.1,0.6,1.7815,49,1.5817,non-habitable
CoRoT-7 c,0.8,0.1,1.7061,49,0.1,0.8,1.7375,49,1.7064,non-habitable
EPIC-206011691 b,0.8,0.1,1.459,51,0.1,0.8,1.0033,53,1.4544,non-habitable
EPIC-206011691 c,0.8,0.1,1.7218,50,0.1,0.6,0.8268,53,1.7128,non-habitable
EPIC 201295312 b,0.8,0.1,2.121,49,0.1,0.7,1.7436,49,2.1172,non-habitable
EPIC 201445392 c,0.8,0.1,2.1211,51,0.1,0.8,1.8069,52,2.118,non-habitable
EPIC 201637175 b,0.2,0.7,10.1013,49,0.1,0.8,2.6387,51,10.0267,non-habitable
EPIC 201713348 b,0.7,0.2,1.2071,53,0.1,0.7,1.6457,50,1.2115,non-habitable
EPIC 203826436 b,0.8,0.1,1.475,52,0.1,0.8,1.6374,50,1.4766,non-habitable
EPIC 204221263 b,0.8,0.1,1.4269,49,0.1,0.8,1.8919,49,1.4315,non-habitable
EPIC 204221263 c,0.7,0.2,2.047,51,0.1,0.8,1.5913,50,2.0424,non-habitable
EPIC 211822797 b,0.7,0.2,1.8969,50,0.1,0.6,0.7815,49,1.8857,non-habitable
EPIC 211913977 b,0.8,0.1,1.8017,49,0.1,0.8,1.1026,50,1.7947,non-habitable
EPIC 211969807 b,0.8,0.1,1.7061,49,0.1,0.8,1.3229,49,1.7023,non-habitable
EPIC 211970147 b,0.8,0.1,1.26,50,0.1,0.8,1.1112,49,1.2585,non-habitable
EPIC 220674823 b,0.8,0.1,1.3563,50,0.1,0.8,3.072,51,1.3735,non-habitable
GJ 15 A b,0.7,0.2,1.4743,51,0.1,0.7,0.7656,49,1.4672,non-habitable
GJ 163 c,0.7,0.2,1.5806,49,0.1,0.1,0.6048,50,1.5708,psychroplanet
GJ 176 b,0.8,0.1,1.7061,49,0.1,0.8,0.9263,50,1.6983,non-habitable
GJ 180 b,0.7,0.2,1.6248,49,0.1,0.8,0.6513,53,1.6151,mesoplanet
GJ 180 c,0.8,0.1,1.6026,49,0.1,0.1,0.604,49,1.5926,mesoplanet
GJ 273 b,0.8,0.1,1.3238,50,0.1,0.8,0.6173,49,1.3167,mesoplanet
GJ 273 c,0.8,0.1,1.0679,49,0.1,0.8,0.8233,49,1.0655,non-habitable
GJ 422 b,0.7,0.2,1.6948,49,0.1,0.2,0.6101,49,1.684,mesoplanet
GJ 433 b,0.8,0.1,1.5303,49,0.1,0.8,0.8549,50,1.5235,non-habitable
GJ 536 b,0.7,0.2,1.4769,52,0.1,0.7,0.8682,50,1.4708,non-habitable
GJ 581 c,0.8,0.1,1.539,53,0.1,0.8,0.7102,50,1.5307,non-habitable
GJ 581 e,0.7,0.1,1.1761,49,0.1,0.8,0.9565,50,1.1739,non-habitable
GJ 649 c,0.7,0.2,1.6775,50,0.1,0.8,1.063,52,1.6714,non-habitable
GJ 667 C b,0.7,0.2,1.4892,49,0.1,0.8,0.8289,50,1.4826,non-habitable
GJ 667 C c,0.8,0.1,1.4195,49,0.1,0.1,0.5935,49,1.4112,mesoplanet
GJ 667 C d,0.7,0.2,1.4594,52,0.1,0.1,0.5809,49,1.4506,non-habitable
GJ 667 C e,0.8,0.1,1.3076,49,0.1,0.1,0.5729,49,1.3003,psychroplanet
GJ 667 C f,0.8,0.1,1.3076,50,0.1,0.1,0.5805,52,1.3003,psychroplanet
GJ 667 C g,0.8,0.1,1.4824,50,0.1,0.2,0.5309,49,1.4729,non-habitable
GJ 676 A d,0.8,0.1,1.4677,49,0.1,0.8,1.2668,49,1.4657,non-habitable
GJ 682 b,0.7,0.2,1.4111,49,0.1,0.8,0.6727,49,1.4037,non-habitable
GJ 682 c,0.8,0.1,1.7218,50,0.1,0.1,0.6017,49,1.7106,psychroplanet
