Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
55 Cnc e,non-habitable,0.2778,0.7222,1.99,0.4259,0.5741,2.05,1.9906,57,48
61 Vir b,non-habitable,0.5291,0.4709,1.66,0.9718,0.0282,1.75,1.6609,62,50
alf Cen B b,non-habitable,0.504,0.496,1.09,0.6441,0.3559,1.03,1.0894,0,0
BD+20 594 b,non-habitable,0.8911,0.1089,2.23,0.2696,0.7304,2.71,2.2348,54,59
BD-06 1339 b,non-habitable,0.8695,0.1305,1.91,0.5475,0.4525,2.12,1.9121,55,55
CoRoT-7 b,non-habitable,0.0154,0.9846,1.67,0.0979,0.9021,2.11,1.6744,65,55
CoRoT-7 c,non-habitable,0.6034,0.3966,1.9,0.5623,0.4377,2.1,1.902,59,56
EPIC-206011691 b,non-habitable,0.6549,0.3451,1.59,0.6984,0.3016,1.65,1.5906,57,46
EPIC-206011691 c,non-habitable,0.6645,0.3355,1.92,0.0674,0.9326,2.13,1.9221,53,62
EPIC 201295312 b,non-habitable,0.2727,0.7273,2.74,0.6321,0.3679,2.1,2.7336,55,53
EPIC 201445392 c,non-habitable,0.2847,0.7153,2.41,0.2087,0.7913,3.07,2.4166,45,59
EPIC 201637175 b,non-habitable,0.8562,0.1438,2.8,0.6878,0.3122,12.61,2.8981,58,73
EPIC 201713348 b,non-habitable,0.7604,0.2396,1.32,0.1691,0.8309,1.3,1.3198,36,42
EPIC 203826436 b,non-habitable,0.3495,0.6505,1.61,0.5625,0.4375,1.68,1.6107,63,58
EPIC 204221263 b,non-habitable,0.4917,0.5083,1.55,0.6132,0.3868,1.59,1.5504,59,69
EPIC 204221263 c,non-habitable,0.173,0.827,2.42,0.0051,0.9949,3.09,2.4267,55,52
EPIC 211822797 b,non-habitable,0.5464,0.4536,2.24,0.157,0.843,2.71,2.2447,57,57
EPIC 211913977 b,non-habitable,0.7618,0.2382,2.02,0.9392,0.0608,2.3,2.0228,51,59
EPIC 211969807 b,non-habitable,0.4654,0.5346,1.9,0.1664,0.8336,2.11,1.9021,51,60
EPIC 211970147 b,non-habitable,0.9893,0.0107,1.34,0.7128,0.2872,1.33,1.3399,42,49
EPIC 220674823 b,non-habitable,0.5066,0.4934,1.46,0.3408,0.6592,1.47,1.4601,54,54
GJ 15 A b,non-habitable,0.3897,0.6103,1.69,0.9548,0.0452,1.78,1.6909,50,54
GJ 163 c,psychroplanet,0.3515,0.6485,1.83,0.699,0.301,1.99,1.8316,39,50
GJ 176 b,non-habitable,0.4604,0.5396,1.9,0.1073,0.8927,2.11,1.9021,50,61
GJ 180 b,mesoplanet,0.8538,0.1462,1.89,0.637,0.363,2.09,1.892,72,49
GJ 180 c,mesoplanet,0.602,0.398,1.77,0.8524,0.1476,1.9,1.7713,61,45
GJ 273 b,mesoplanet,0.4699,0.5301,1.42,0.3464,0.6536,1.43,1.4201,52,48
GJ 273 c,non-habitable,0.207,0.793,1.1,0.2726,0.7274,1.04,1.0994,0,0
GJ 422 b,mesoplanet,0.9647,0.0353,1.98,0.5888,0.4112,2.24,1.9826,63,62
GJ 433 b,non-habitable,0.5942,0.4058,1.68,0.9489,0.0511,1.77,1.6809,72,55
GJ 536 b,non-habitable,0.3725,0.6275,1.69,0.5637,0.4363,1.78,1.6909,52,38
GJ 581 c,non-habitable,0.8097,0.1903,1.69,0.8641,0.1359,1.79,1.691,51,38
GJ 581 e,non-habitable,0.9711,0.0289,1.27,0.5634,0.4366,1.24,1.2697,54,43
GJ 649 c,non-habitable,0.7389,0.2611,1.96,0.36,0.64,2.21,1.9625,58,49
GJ 667 C b,non-habitable,0.4233,0.5767,1.71,0.6924,0.3076,1.81,1.711,58,54
