Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
55 Cnc e,non-habitable,0.4655,0.5345,1.99,0.0729,0.9271,2.05,1.9906,72,56
61 Vir b,non-habitable,0.2239,0.776,1.66,0.7534,0.2466,1.75,1.6609,53,52
alf Cen B b,non-habitable,0.3406,0.6594,1.09,0.7585,0.2415,1.03,1.0894,42,50
BD+20 594 b,non-habitable,0.9167,0.0833,2.23,0.725,0.275,2.71,2.2348,55,67
BD-06 1339 b,non-habitable,0.3945,0.6055,1.91,0.6851,0.3149,2.12,1.9121,64,59
CoRoT-7 b,non-habitable,0.7924,0.2076,1.67,0.2167,0.7833,2.11,1.6744,58,62
CoRoT-7 c,non-habitable,0.583,0.417,1.9,0.1307,0.8693,2.1,1.902,62,63
EPIC-206011691 b,non-habitable,0.9305,0.0695,1.59,0.6562,0.3438,1.65,1.5906,58,50
EPIC-206011691 c,non-habitable,0.8994,0.1006,1.92,0.9936,0.0064,2.13,1.9221,57,62
EPIC 201295312 b,non-habitable,0.218,0.782,2.74,0.6375,0.3625,2.1,2.7336,64,47
EPIC 201445392 c,non-habitable,0.3328,0.6672,2.41,0.2963,0.7037,3.07,2.4166,48,61
EPIC 201637175 b,non-habitable,0.8975,0.1025,2.8,0.5198,0.4802,12.61,2.8981,56,73
EPIC 201713348 b,non-habitable,0.7006,0.2994,1.32,0.9172,0.0828,1.3,1.3198,50,33
EPIC 203826436 b,non-habitable,0.4431,0.5569,1.61,0.7553,0.2447,1.68,1.6107,42,54
EPIC 204221263 b,non-habitable,0.2219,0.7781,1.55,0.9948,0.0052,1.59,1.5504,55,46
EPIC 204221263 c,non-habitable,0.4734,0.5266,2.42,0.0092,0.9908,3.09,2.4267,60,69
EPIC 211822797 b,non-habitable,0.9841,0.0159,2.24,0.9562,0.0438,2.71,2.2447,61,68
EPIC 211913977 b,non-habitable,0.2487,0.7513,2.02,0.587,0.413,2.3,2.0228,54,64
EPIC 211969807 b,non-habitable,0.6119,0.3881,1.9,0.3278,0.6722,2.11,1.9021,43,58
EPIC 211970147 b,non-habitable,0.019,0.981,1.34,0.1819,0.8181,1.33,1.3399,44,60
EPIC 220674823 b,non-habitable,0.7777,0.2223,1.46,0.9043,0.0957,1.47,1.4601,54,66
GJ 15 A b,non-habitable,0.4005,0.5995,1.69,0.3693,0.6307,1.78,1.6909,66,56
GJ 163 c,psychroplanet,0.1224,0.8776,1.83,0.7036,0.2964,1.99,1.8316,59,62
GJ 176 b,non-habitable,0.3956,0.6044,1.9,0.3719,0.6281,2.11,1.9021,59,56
GJ 180 b,mesoplanet,0.0374,0.9626,1.89,0.6559,0.3441,2.09,1.892,59,63
GJ 180 c,mesoplanet,0.6322,0.3678,1.77,0.9565,0.0434,1.9,1.7713,58,41
GJ 273 b,mesoplanet,0.5845,0.4155,1.42,0.0783,0.9217,1.43,1.4201,50,50
GJ 273 c,non-habitable,0.9024,0.0976,1.1,0.2571,0.7429,1.04,1.0994,50,44
GJ 422 b,mesoplanet,0.4919,0.5081,1.98,0.1238,0.8762,2.24,1.9826,44,64
GJ 433 b,non-habitable,0.821,0.179,1.68,0.9116,0.0884,1.77,1.6809,57,61
GJ 536 b,non-habitable,0.2073,0.7927,1.69,0.0869,0.9131,1.78,1.6909,61,50
GJ 581 c,non-habitable,0.5505,0.4495,1.69,0.8613,0.1387,1.79,1.691,59,54
GJ 581 e,non-habitable,0.2457,0.7543,1.27,0.6816,0.3184,1.24,1.2697,52,50
GJ 649 c,non-habitable,0.2789,0.7211,1.96,0.7856,0.2144,2.21,1.9625,54,61
GJ 667 C b,non-habitable,0.7819,0.2181,1.71,0.9025,0.0975,1.81,1.711,58,57
GJ 667 C c,mesoplanet,0.1412,0.8588,1.54,0.4447,0.5553,1.57,1.5403,47,53
GJ 667 C d,non-habitable,0.908,0.092,1.67,0.7183,0.2817,1.75,1.6708,50,65
GJ 667 C e,psychroplanet,0.1792,0.8208,1.4,0.2344,0.7656,1.39,1.3999,49,60
GJ 667 C f,psychroplanet,0.7048,0.2952,1.4,0.3984,0.6016,1.39,1.3999,64,61
GJ 667 C g,non-habitable,0.6049,0.3951,1.62,0.6232,0.3768,1.69,1.6207,49,58
GJ 676 A d,non-habitable,0.6598,0.3402,1.6,0.7423,0.2577,1.67,1.6007,53,56
GJ 682 b,non-habitable,0.5917,0.4083,1.6,0.8382,0.1618,1.66,1.6006,49,53
GJ 682 c,psychroplanet,0.3748,0.6252,1.92,0.35,0.65,2.13,1.9221,64,48
GJ 832 c,mesoplanet,0.4796,0.5204,1.69,0.4487,0.5513,1.79,1.691,64,56
GJ 876 d,non-habitable,0.4927,0.5073,1.81,0.703,0.297,1.97,1.8116,60,50
GJ 1132 b,non-habitable,0.9839,0.0161,1.15,0.3867,0.6133,1.19,1.1504,58,65
GJ 1214 b,non-habitable,0.4933,0.5067,2.67,0.8888,0.1112,1.56,2.6589,70,50
GJ 3138 b,non-habitable,0.1667,0.8333,1.58,0.8435,0.1565,1.63,1.5805,49,61
GJ 3138 c,non-habitable,0.826,0.174,1.24,0.3037,0.6963,1.2,1.2396,54,49
GJ 3293 d,psychroplanet,0.4539,0.5461,1.85,0.42,0.58,2.03,1.8518,56,63
GJ 3293 e,non-habitable,0.5868,0.4132,1.47,0.5019,0.4981,1.49,1.4702,47,44
GJ 3323 b,mesoplanet,0.4006,0.5994,1.28,0.241,0.759,1.25,1.2797,53,50
GJ 3323 c,non-habitable,0.6827,0.3173,1.34,0.1036,0.8964,1.32,1.3398,66,46
GJ 3341 b,non-habitable,0.1102,0.8898,1.78,0.7374,0.2626,1.92,1.7814,62,58
GJ 3634 b,non-habitable,0.6029,0.3971,1.89,0.4297,0.5703,2.09,1.892,59,77
GJ 3998 b,non-habitable,0.7864,0.2136,1.36,0.9616,0.0384,1.35,1.3599,57,47
GJ 3998 c,non-habitable,0.5943,0.4057,1.76,0.3578,0.6422,1.89,1.7613,71,67
HD 1461 b,non-habitable,0.0698,0.9302,1.77,0.6863,0.3137,1.91,1.7714,52,68
HD 1461 c,non-habitable,0.6566,0.3434,1.71,0.3101,0.6899,1.81,1.711,51,57
HD 3167 b,non-habitable,0.3899,0.6101,1.59,0.7615,0.2385,1.65,1.5906,58,58
HD 7924 c,non-habitable,0.0805,0.9195,1.87,0.1029,0.8971,2.05,1.8718,51,59
HD 7924 d,non-habitable,0.9776,0.0224,1.77,0.183,0.817,1.91,1.7714,65,64
HD 20794 b,non-habitable,0.9079,0.0921,1.4,0.6638,0.3362,1.39,1.3999,66,57
HD 20794 c,non-habitable,0.0141,0.9859,1.35,0.116,0.884,1.34,1.3499,50,45
HD 20794 d,non-habitable,0.2525,0.7475,1.64,0.531,0.469,1.71,1.6407,60,48
HD 39194 b,non-habitable,0.8865,0.1135,1.53,0.3549,0.6451,1.56,1.5303,53,67
HD 39194 c,non-habitable,0.6016,0.3984,1.74,0.0908,0.9092,1.85,1.7411,62,58
HD 39194 d,non-habitable,0.6186,0.3814,1.67,0.3661,0.6339,1.76,1.6709,52,56
HD 40307 b,non-habitable,0.4432,0.5568,1.54,0.1529,0.8471,1.58,1.5404,54,51
HD 40307 c,non-habitable,0.6962,0.3038,1.77,0.0629,0.9371,1.91,1.7714,49,60
HD 40307 d,non-habitable,0.3974,0.6026,1.92,0.824,0.176,2.13,1.9221,57,58
HD 40307 e,non-habitable,0.7526,0.2474,1.5,0.6781,0.3219,1.53,1.5003,60,50
HD 40307 f,non-habitable,0.8876,0.1124,1.52,0.2613,0.7387,1.55,1.5203,51,60
HD 40307 g,psychroplanet,0.3007,0.6993,1.82,0.7861,0.2139,1.98,1.8216,62,56
HD 85512 b,non-habitable,0.6543,0.3457,1.5,0.977,0.023,1.53,1.5003,57,55
HD 93385 b,non-habitable,0.4388,0.5612,1.9,0.9674,0.0326,2.1,1.902,61,40
HD 96700 b,non-habitable,0.3666,0.6334,1.93,0.8647,0.1353,2.16,1.9323,57,55
HD 97658 b,non-habitable,0.6423,0.3577,2.25,0.437,0.563,1.83,2.2458,57,62
HD 106315 b,non-habitable,0.597,0.403,2.23,0.1837,0.8163,1.89,2.2266,67,67
HD 134606 b,non-habitable,0.6726,0.3274,1.95,0.6232,0.3768,2.18,1.9523,58,61
HD 136352 b,non-habitable,0.8251,0.1749,1.68,0.1326,0.8674,1.77,1.6809,48,64
HD 136352 d,non-habitable,0.7399,0.2601,1.96,0.6721,0.3279,2.21,1.9625,49,45
HD 154088 b,non-habitable,0.8677,0.1323,1.75,0.2497,0.7503,1.87,1.7512,58,64
HD 156668 b,non-habitable,0.321,0.679,1.58,0.3729,0.6271,1.63,1.5805,64,53
HD 175607 b,non-habitable,0.9416,0.0584,1.93,0.8611,0.1389,2.16,1.9323,60,57
HD 181433 b,non-habitable,0.0289,0.9711,1.85,0.7958,0.2042,2.02,1.8517,68,57
HD 215152 b,non-habitable,0.4884,0.5116,1.41,0.9613,0.0387,1.4,1.4099,50,48
HD 215152 c,non-habitable,0.3891,0.6109,1.45,0.8152,0.1848,1.46,1.4501,53,55
HD 215497 b,non-habitable,0.0192,0.9808,1.77,0.5628,0.4372,1.9,1.7713,57,58
HD 219134 b,non-habitable,0.0233,0.9767,1.6,0.102,0.898,1.54,1.5994,53,61
HD 219134 c,non-habitable,0.3908,0.6092,1.5,0.2619,0.7381,1.53,1.5003,61,47
HD 219134 e,non-habitable,0.9729,0.0271,1.53,0.0774,0.9226,1.56,1.5303,46,63
HIP 68468 b,non-habitable,0.4254,0.5746,1.5,0.8988,0.1012,1.53,1.5003,56,51
HIP 116454 b,non-habitable,0.1764,0.8236,2.53,0.7956,0.2044,2.16,2.5263,63,59
K2-3 b,non-habitable,0.2229,0.777,2.18,0.3874,0.6126,2.59,2.1841,71,67
K2-3 c,non-habitable,0.2909,0.7091,1.85,0.3044,0.6956,2.03,1.8518,45,67
K2-3 d,non-habitable,0.7578,0.2422,1.53,0.0158,0.9842,2.69,1.5416,58,67
K2-4 b,non-habitable,0.3927,0.6073,2.37,0.8753,0.1247,2.98,2.3761,61,66
K2-5 b,non-habitable,0.0691,0.9309,1.91,0.0329,0.9671,2.12,1.9121,69,56
K2-5 c,non-habitable,0.0463,0.9537,2.26,0.1999,0.8001,2.75,2.2649,59,62
K2-6 b,non-habitable,0.3438,0.6562,2.5,0.7097,0.2903,3.28,2.5078,57,57
K2-8 c,non-habitable,0.9255,0.0745,2.41,0.226,0.774,3.07,2.4166,59,52
K2-9 b,thermoplanet,0.2294,0.7706,2.25,0.6894,0.3106,2.73,2.2548,68,70
K2-10 b,non-habitable,0.5647,0.4353,3.84,0.1875,0.8125,2.65,3.8281,58,56
K2-12 b,non-habitable,0.6493,0.3507,2.33,0.8562,0.1438,2.9,2.3357,60,60
K2-13 b,non-habitable,0.4808,0.5192,1.89,0.0794,0.9206,2.09,1.892,64,55
K2-15 b,non-habitable,0.6202,0.3798,2.48,0.8414,0.1586,3.23,2.4875,67,66
K2-16 b,non-habitable,0.2141,0.7859,2.02,0.6036,0.3964,2.3,2.0228,60,55
K2-17 b,non-habitable,0.9274,0.0726,2.23,0.8101,0.1899,2.69,2.2346,57,63
K2-18 b,mesoplanet,0.5361,0.4639,2.24,0.5874,0.4126,2.71,2.2447,46,70
K2-19 d,non-habitable,0.2929,0.7071,1.14,0.7432,0.2568,1.09,1.1395,38,34
K2-21 b,non-habitable,0.8657,0.1343,1.59,0.9408,0.0592,1.65,1.5906,48,49
K2-21 c,non-habitable,0.5976,0.4024,1.92,0.5527,0.4473,2.14,1.9222,60,64
K2-22 b,non-habitable,0.1101,0.8899,2.5,0.9739,0.026,13.34,2.6084,57,79
K2-28 b,non-habitable,0.4292,0.5708,2.32,0.5854,0.4146,2.87,2.3255,60,66
K2-33 b,non-habitable,0.478,0.522,5.04,0.8192,0.1808,15.28,5.1424,69,75
K2-35 b,non-habitable,0.1534,0.8466,1.4,0.8564,0.1436,1.4,1.4,69,44
K2-35 c,non-habitable,0.9882,0.0118,2.09,0.5718,0.4282,2.43,2.0934,60,58
K2-36 b,non-habitable,0.1314,0.8686,1.32,0.6072,0.3928,1.3,1.3198,55,51
K2-37 b,non-habitable,0.3335,0.6665,1.61,0.0696,0.9304,1.67,1.6106,48,46
K2-38 b,non-habitable,0.3932,0.6068,1.55,0.8406,0.1594,2.78,1.5623,58,69
K2-38 c,non-habitable,0.7051,0.2949,2.42,0.0363,0.9637,2.02,2.416,54,63
K2-42 b,non-habitable,0.2639,0.7361,2.15,0.9332,0.0668,2.54,2.1539,60,59
K2-46 b,non-habitable,0.7402,0.2598,2.05,0.4909,0.5091,2.36,2.0531,59,62
K2-47 b,non-habitable,0.2064,0.7936,1.89,0.1542,0.8458,2.09,1.892,59,65
K2-48 b,non-habitable,0.9001,0.0999,2.24,0.479,0.521,2.71,2.2447,63,68
K2-49 b,non-habitable,0.4249,0.5751,1.93,0.0837,0.9163,2.15,1.9322,52,46
K2-50 b,non-habitable,0.4233,0.5767,1.59,0.6564,0.3436,1.65,1.5906,63,63
K2-53 b,non-habitable,0.3189,0.6811,2.5,0.3415,0.6585,3.28,2.5078,62,63
K2-54 b,non-habitable,0.2554,0.7446,1.15,0.1118,0.8882,1.1,1.1495,26,49
K2-57 b,non-habitable,0.8878,0.1122,2.1,0.4098,0.5902,2.44,2.1034,61,63
K2-58 c,non-habitable,0.7371,0.2629,1.62,0.6141,0.3859,1.69,1.6207,53,61
K2-58 d,non-habitable,0.8081,0.1919,1.71,0.7921,0.2079,1.81,1.711,52,52
K2-59 b,non-habitable,0.3221,0.6779,2.41,0.8877,0.1123,3.07,2.4166,56,65
K2-59 c,non-habitable,0.0089,0.9911,2.3,0.3149,0.6851,2.83,2.3053,54,49
K2-61 b,non-habitable,0.4211,0.5789,2.48,0.1533,0.8467,3.23,2.4875,34,68
K2-62 b,non-habitable,0.0837,0.9163,2.14,0.9408,0.0592,2.52,2.1438,64,71
K2-62 c,non-habitable,0.4093,0.5907,2.14,0.1688,0.8312,2.52,2.1438,58,62
K2-64 b,non-habitable,0.7226,0.2774,2.07,0.5394,0.4606,2.39,2.0732,37,54
K2-65 b,non-habitable,0.5135,0.4865,1.58,0.1249,0.8751,1.63,1.5805,51,54
K2-66 b,non-habitable,0.4094,0.5906,2.49,0.5115,0.4885,3.26,2.4977,64,71
K2-68 b,non-habitable,0.0504,0.9496,1.58,0.3048,0.6952,1.63,1.5805,64,58
K2-69 b,non-habitable,0.14,0.86,2.32,0.2444,0.7556,2.87,2.3255,60,66
K2-71 b,non-habitable,0.0335,0.9665,2.15,0.3131,0.6869,2.54,2.1539,53,86
K2-72 b,non-habitable,0.2379,0.7621,1.29,0.2574,0.7426,1.26,1.2897,53,31
K2-72 c,non-habitable,0.9297,0.0703,1.46,0.808,0.192,1.47,1.4601,55,54
K2-72 d,non-habitable,0.0697,0.9303,1.25,0.3626,0.6374,1.21,1.2496,43,52
K2-72 e,mesoplanet,0.1925,0.8075,1.4,0.1284,0.8716,1.4,1.4,62,63
K2-73 b,non-habitable,0.7915,0.2085,2.45,0.5171,0.4829,3.16,2.4571,53,59
K2-74 b,non-habitable,0.2242,0.7758,2.31,0.5536,0.4464,2.85,2.3154,51,72
K2-77 b,non-habitable,0.8717,0.1283,2.47,0.1922,0.8078,3.21,2.4774,76,62
K2-78 b,non-habitable,0.6992,0.3008,1.42,0.7221,0.2779,1.42,1.42,51,51
K2-80 b,non-habitable,0.6686,0.3314,2.01,0.0756,0.9244,2.29,2.0128,57,64
K2-80 c,non-habitable,0.2203,0.7797,1.47,0.4247,0.5753,1.49,1.4702,56,61
K2-81 b,non-habitable,0.4304,0.5696,1.82,0.2436,0.7564,1.98,1.8216,55,47
K2-83 b,non-habitable,0.868,0.132,1.24,0.0789,0.9211,1.21,1.2397,48,52
K2-83 c,non-habitable,0.3527,0.6473,1.48,0.7703,0.2297,1.5,1.4802,51,65
K2-84 b,non-habitable,0.1183,0.8817,2.41,0.3783,0.6217,3.07,2.4166,40,55
K2-84 c,non-habitable,0.957,0.043,2.03,0.7883,0.2117,2.32,2.0329,55,55
K2-85 b,non-habitable,0.8895,0.1105,1.01,0.0,0.0,1.0,1.0099,22,55
K2-86 b,non-habitable,0.8716,0.1284,1.96,0.8126,0.1874,2.2,1.9624,46,65
K2-88 b,non-habitable,0.4208,0.5792,1.23,0.4691,0.5309,1.19,1.2296,56,59
K2-89 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,64,68
K2-90 b,non-habitable,0.9264,0.0736,2.04,0.7958,0.2042,2.34,2.043,69,61
K2-90 c,non-habitable,0.002,0.998,1.02,0.0,0.0,1.0,1.0198,38,54
K2-91 b,non-habitable,0.7035,0.2965,1.1,0.4744,0.5256,1.04,1.0994,55,43
K2-95 b,non-habitable,0.0694,0.9306,3.7,0.7086,0.2914,11.99,3.7829,58,63
K2-105 b,non-habitable,0.8121,0.1879,3.58,0.7267,0.2733,2.89,3.5731,56,68
Kapteyn b,psychroplanet,0.6545,0.3455,1.64,0.3731,0.6269,1.71,1.6407,59,60
Kapteyn c,non-habitable,0.0007,0.9993,1.81,0.229,0.771,1.97,1.8116,50,58
Kepler-4 b,non-habitable,0.9205,0.0795,4.0,0.8969,0.1031,2.56,3.9856,74,64
Kepler-9 d,non-habitable,0.4604,0.5396,2.0,0.6726,0.3274,1.62,1.9962,59,60
Kepler-10 b,non-habitable,0.0231,0.9769,1.47,0.5716,0.4284,1.5,1.4703,63,50
Kepler-10 c,non-habitable,0.4693,0.5307,2.32,0.1353,0.8647,2.88,2.3256,68,67
Kepler-11 b,non-habitable,0.3047,0.6953,1.8,0.2296,0.7704,1.03,1.7923,59,44
Kepler-18 b,non-habitable,0.0525,0.9475,2.0,0.9131,0.0869,1.85,1.9985,70,63
Kepler-19 b,non-habitable,0.3953,0.6047,2.22,0.3495,0.6505,2.67,2.2245,66,68
Kepler-20 b,non-habitable,0.0776,0.9224,1.87,0.5977,0.4023,2.28,1.8741,49,70
Kepler-20 c,non-habitable,0.7662,0.2338,3.04,0.956,0.044,2.05,3.0301,65,71
Kepler-20 e,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,60,64
Kepler-20 f,non-habitable,0.7317,0.0999,1.0,0.0,0.0,1.0,1.0,0,61
Kepler-21 b,non-habitable,0.1092,0.8908,1.64,0.9608,0.0392,1.71,1.6407,57,59
Kepler-22 b,mesoplanet,0.5762,0.4238,2.35,0.7843,0.2157,2.94,2.3559,57,73
Kepler-23 b,non-habitable,0.5815,0.4185,1.69,0.5001,0.4999,1.79,1.691,54,53
Kepler-23 d,non-habitable,0.1344,0.8656,2.23,0.8874,0.1126,2.8,2.2357,62,70
Kepler-24 b,non-habitable,0.7414,0.2586,2.35,0.6789,0.3211,2.94,2.3559,56,79
Kepler-26 e,non-habitable,0.2803,0.7197,2.41,0.1617,0.8383,3.07,2.4166,68,60
Kepler-33 b,non-habitable,0.1685,0.8315,1.79,0.4767,0.5233,1.94,1.7915,56,61
Kepler-36 b,non-habitable,0.1687,0.8313,1.48,0.3503,0.6497,1.74,1.4826,60,62
Kepler-37 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,71,70
Kepler-37 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,65,68
Kepler-37 d,non-habitable,0.7968,0.2032,1.94,0.3425,0.6575,2.17,1.9423,60,64
Kepler-38(AB) b,non-habitable,0.4982,0.5018,4.37,0.2086,0.7914,5.26,4.3789,63,56
Kepler-42 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,67,73
Kepler-42 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,75,73
Kepler-42 d,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,56,66
Kepler-48 b,non-habitable,0.822,0.178,1.88,0.2391,0.7609,2.08,1.882,51,50
Kepler-48 c,non-habitable,0.2001,0.7999,2.71,0.7013,0.2987,2.32,2.7061,56,62
Kepler-48 d,non-habitable,0.0778,0.9222,2.04,0.8851,0.1149,1.97,2.0393,67,56
Kepler-49 d,non-habitable,0.7139,0.2861,1.6,0.4403,0.5597,1.66,1.6006,63,56
Kepler-49 e,non-habitable,0.723,0.277,1.56,0.7766,0.2234,1.6,1.5604,42,65
Kepler-50 b,non-habitable,0.4871,0.5129,2.24,0.0572,0.9428,3.77,2.2553,66,67
Kepler-50 c,non-habitable,0.8281,0.1719,2.8,0.4762,0.5238,3.53,2.8073,50,60
Kepler-52 b,non-habitable,0.8646,0.1354,2.13,0.4972,0.5028,2.5,2.1337,51,64
Kepler-52 c,non-habitable,0.7456,0.2544,1.79,0.1406,0.8594,1.94,1.7915,64,61
Kepler-52 d,non-habitable,0.9616,0.0384,1.95,0.9858,0.0142,2.18,1.9523,59,58
Kepler-53 d,non-habitable,0.4864,0.5136,2.12,0.3687,0.6313,2.48,2.1236,59,58
Kepler-54 b,non-habitable,0.9811,0.0189,2.13,0.8144,0.1856,2.5,2.1337,50,61
Kepler-54 c,non-habitable,0.6864,0.3136,1.23,0.0221,0.9779,1.19,1.2296,65,50
Kepler-54 d,non-habitable,0.6288,0.3712,1.52,0.8513,0.1487,1.56,1.5204,47,59
Kepler-55 b,non-habitable,0.0151,0.9849,2.46,0.5244,0.4756,3.2,2.4674,55,61
Kepler-55 c,non-habitable,0.1365,0.8635,2.24,0.8175,0.1825,2.71,2.2447,64,61
Kepler-55 d,non-habitable,0.676,0.324,1.59,0.8062,0.1938,1.65,1.5906,60,55
Kepler-55 e,non-habitable,0.8441,0.1559,1.55,0.4677,0.5323,1.59,1.5504,42,61
Kepler-55 f,non-habitable,0.0453,0.9546,1.59,0.7881,0.2119,1.65,1.5906,54,47
Kepler-57 b,non-habitable,0.3694,0.6306,2.24,0.0313,0.9687,2.71,2.2447,55,69
Kepler-57 c,non-habitable,0.9077,0.0923,1.57,0.9201,0.0799,37.5399,1.9297,59,76
Kepler-58 b,non-habitable,0.5093,0.4907,2.8,0.4781,0.5219,12.56,2.8976,43,78
Kepler-58 c,non-habitable,0.1683,0.8317,2.91,0.1367,0.8633,15.46,3.0355,67,74
Kepler-59 b,non-habitable,0.2957,0.7043,1.1,0.3557,0.6443,24.3699,1.3327,48,67
Kepler-59 c,non-habitable,0.6752,0.3248,2.02,0.839,0.161,14.7,2.1468,51,82
Kepler-60 b,non-habitable,0.6314,0.3686,1.71,0.314,0.686,1.56,1.7085,49,58
Kepler-60 c,non-habitable,0.214,0.786,1.9,0.427,0.573,1.42,1.8952,46,43
Kepler-60 d,non-habitable,0.5102,0.4898,1.99,0.1667,0.8333,1.45,1.9846,59,56
Kepler-61 b,mesoplanet,0.1131,0.8869,2.15,0.3557,0.6443,2.54,2.1539,66,65
Kepler-62 b,non-habitable,0.5971,0.4029,1.31,0.2639,0.7361,1.29,1.3098,46,46
Kepler-62 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57,72
Kepler-62 d,non-habitable,0.9829,0.0171,1.95,0.5001,0.4999,2.18,1.9523,60,66
Kepler-62 e,mesoplanet,0.8733,0.1267,1.61,0.5525,0.4475,1.68,1.6107,57,54
Kepler-62 f,psychroplanet,0.0274,0.9726,1.41,0.5756,0.4244,1.41,1.41,51,54
Kepler-65 b,non-habitable,0.3667,0.6332,1.41,0.4701,0.5299,1.41,1.41,58,36
Kepler-65 c,non-habitable,0.8818,0.1182,2.57,0.1462,0.8538,3.22,2.5765,63,60
Kepler-65 d,non-habitable,0.938,0.062,1.51,0.4454,0.5546,1.53,1.5102,63,58
Kepler-68 b,non-habitable,0.3499,0.6501,2.31,0.9624,0.0376,1.61,2.303,56,49
Kepler-68 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,57,73
Kepler-69 b,non-habitable,0.9832,0.0168,2.23,0.1324,0.8676,2.69,2.2346,60,65
Kepler-69 c,non-habitable,0.2185,0.7815,1.71,0.1166,0.8834,1.82,1.7111,40,66
Kepler-70  b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,66,65
Kepler-70 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,62,54
Kepler-78 b,non-habitable,0.76,0.24,1.2,0.9794,0.0206,1.15,1.1995,59,55
Kepler-80 b,non-habitable,0.8197,0.1803,2.35,0.3346,0.6654,1.72,2.3437,72,62
Kepler-80 c,non-habitable,0.3214,0.6786,2.58,0.8819,0.1181,1.62,2.5704,69,51
Kepler-80 d,non-habitable,0.2423,0.7577,1.4,0.8162,0.1838,2.19,1.4079,49,59
Kepler-80 e,non-habitable,0.1854,0.8146,1.5,0.0508,0.9492,1.66,1.5016,47,48
Kepler-80 f,non-habitable,0.9236,0.0764,1.23,0.3528,0.6472,1.19,1.2296,50,51
