Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
55 Cnc e,non-habitable,0.2918,0.0024,0.3304,0.107,0.2685,0.9377,1,3.8152,88
61 Vir b,non-habitable,0.087,0.062,0.3333,0.1315,0.3862,0.859,1,4.3482,84
alf Cen B b,non-habitable,0.0066,0.0574,0.416,0.4484,0.0716,0.9439,1,2.0798,86
BD+20 594 b,non-habitable,0.2418,0.2495,0.1999,0.2481,0.0606,0.8678,1,1.9328,85
BD-06 1339 b,non-habitable,0.1933,0.0395,0.5855,0.0863,0.0954,0.8498,1,3.0011,87
CoRoT-7 b,non-habitable,0.2331,0.2768,0.3196,0.1222,0.0483,0.9881,1,2.98,89
CoRoT-7 c,non-habitable,0.3215,0.2232,0.3713,0.0265,0.0576,0.9649,1,2.2988,75
EPIC-206011691 b,non-habitable,0.2017,0.0335,0.0669,0.6953,0.0026,0.4339,1,1.6232,78
EPIC-206011691 c,non-habitable,0.1339,0.2258,0.2941,0.3306,0.0158,0.566,1,1.6908,87
EPIC 201295312 b,non-habitable,0.3488,0.0295,0.1988,0.1712,0.2517,0.8377,1,3.9185,104
EPIC 201445392 c,non-habitable,0.2817,0.1427,0.2533,0.2496,0.0727,0.9203,1,2.5887,83
EPIC 201637175 b,non-habitable,0.1208,0.3928,0.0358,0.4351,0.0156,0.5935,1,13.164,107
EPIC 201713348 b,non-habitable,0.1603,0.0766,0.4,0.317,0.0461,0.5886,1,2.2025,91
EPIC 203826436 b,non-habitable,0.1734,0.0731,0.2988,0.3373,0.1173,0.6909,1,1.8231,81
EPIC 204221263 b,non-habitable,0.0981,0.3429,0.445,0.0169,0.097,0.3855,1,1.8333,88
EPIC 204221263 c,non-habitable,0.3389,0.0511,0.3314,0.2566,0.0219,0.7608,1,2.7131,100
EPIC 211822797 b,non-habitable,0.1573,0.1095,0.1018,0.221,0.4104,0.552,1,4.8766,94
EPIC 211913977 b,non-habitable,0.0113,0.1349,0.1813,0.2173,0.4552,0.5599,1,3.5081,96
EPIC 211969807 b,non-habitable,0.1655,0.2137,0.0033,0.1467,0.4707,0.1942,1,4.3079,86
EPIC 211970147 b,non-habitable,0.1026,0.0799,0.0093,0.4443,0.3639,0.6542,1,2.6967,82
EPIC 220674823 b,non-habitable,0.2397,0.0321,0.3464,0.0709,0.3109,0.894,1,2.9858,100
GJ 15 A b,non-habitable,0.1758,0.227,0.2411,0.3305,0.0255,0.9195,1,1.4727,82
GJ 163 c,psychroplanet,0.0643,0.0863,0.1942,0.2599,0.3953,0.4191,1,2.6609,81
GJ 176 b,non-habitable,0.194,0.0197,0.3151,0.4651,0.0061,0.3976,1,1.8787,86
GJ 180 b,mesoplanet,0.0628,0.1319,0.016,0.3591,0.4302,0.5353,1,3.4931,91
GJ 180 c,mesoplanet,0.0568,0.1703,0.0035,0.3873,0.3822,0.3851,1,2.7506,101
GJ 273 b,mesoplanet,0.1723,0.0045,0.1931,0.2412,0.389,0.6254,1,2.789,90
GJ 273 c,non-habitable,0.0237,0.0856,0.1657,0.4309,0.2941,0.8753,1,3.514,109
