Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter,ScoreMin,ScoreMax
55 Cnc e,non-habitable,0.0727,0.1978,0.2819,0.1943,0.2533,0.6466,1,3.2209,89,3.2209296788940995,3.220932555244493
61 Vir b,non-habitable,0.2969,0.2563,0.16399999999999998,0.0153,0.2675,0.9316,1,3.2556,96,3.2555829913513317,3.2556433910189466
alf Cen B b,non-habitable,0.0015,0.2154,0.40399999999999997,0.2821,0.0969,0.7489,1,1.8596,83,1.8595311921301847,1.8595630151608935
BD+20 594 b,non-habitable,0.3689,0.2436,0.0604,0.1942,0.133,0.9353,1,1.8008,86,1.800837461024212,1.8008490493427538
BD-06 1339 b,non-habitable,0.2353,0.0336,0.336,0.3398,0.0554,0.527,1,2.4183,86,2.418246210781509,2.4182817144047943
CoRoT-7 b,non-habitable,0.0614,0.3751,0.4475,0.0724,0.0435,0.9115,1,3.4445,94,3.4444650939750328,3.4444900710943824
CoRoT-7 c,non-habitable,0.1831,0.2766,0.3576,0.1067,0.076,0.741,1,2.1165,78,2.116443052837571,2.116453211527743
EPIC-206011691 b,non-habitable,0.0567,0.2995,0.2865,0.3512,0.0061,0.7288,1,1.5247,83,1.5246625000132996,1.5246688368907804
EPIC-206011691 c,non-habitable,0.2354,0.2118,0.1167,0.3937,0.0423,0.3753,1,1.6045,95,1.604484497800807,1.6044948594639599
EPIC 201295312 b,non-habitable,0.0032,0.0641,0.3232,0.3596,0.25,0.7236,1,3.8413,88,3.8410990088652954,3.841266539934717
EPIC 201445392 c,non-habitable,0.2106,0.2134,0.2442,0.3259,0.0059,0.9962,1,2.7558,85,2.755682403700278,2.7557768457818694
EPIC 201637175 b,non-habitable,0.3052,0.3375,0.1121,0.203,0.0421,0.9505,1,10.6615,106,10.661401682819005,10.661545222663568
EPIC 201713348 b,non-habitable,0.0282,0.3087,0.3366,0.1651,0.1613,0.8581,1,1.9138,95,1.913758523345509,1.9137982422398319
EPIC 203826436 b,non-habitable,0.2944,0.0949,0.3209,0.2808,0.0091,0.9105,1,2.1602,84,2.160227776849445,2.1602350968173556
EPIC 204221263 b,non-habitable,0.2036,0.1856,0.3712,0.1633,0.0763,0.82,1,2.2430000000000003,84,2.242809366843355,2.242978683649435
EPIC 204221263 c,non-habitable,0.1957,0.0151,0.2772,0.4556,0.0564,0.948,1,2.7694,87,2.7693989826673167,2.769407312440268
EPIC 211822797 b,non-habitable,0.1896,0.0349,0.0837,0.2024,0.4894,0.6722,1,5.8129,96,5.8128435961481015,5.812879243938308
EPIC 211913977 b,non-habitable,0.0312,0.3101,0.0961,0.1434,0.4191,0.9428,1,3.4233,91,3.423305838263962,3.423322493164827
EPIC 211969807 b,non-habitable,0.008,0.2569,0.1396,0.1294,0.466,0.4723,1,4.9035,88,4.903451621499792,4.903508696430405
EPIC 211970147 b,non-habitable,0.0632,0.0666,0.4414,0.0003,0.4285,0.3053,1,3.2689999999999997,94,3.2689635915743795,3.269031238549573
EPIC 220674823 b,non-habitable,0.2465,0.1903,0.365,0.0709,0.1273,0.9317,1,3.4148,89,3.414767122712256,3.4147899747886745
GJ 15 A b,non-habitable,0.4435,0.0257,0.1465,0.3696,0.0147,0.7148,1,1.631,84,1.630991057003248,1.6309938412785328
GJ 163 c,psychroplanet,0.016,0.1035,0.0765,0.3945,0.4096,0.5933,1,2.9658,89,2.965835320687717,2.9658440779495714
GJ 176 b,non-habitable,0.2645,0.1147,0.2445,0.2196,0.1567,0.9596,1,1.5061,82,1.5060594835862529,1.5060654743560458
GJ 180 b,mesoplanet,0.3933,0.0379,0.1575,0.0222,0.3891,0.7836,1,3.3519,88,3.351849090083328,3.351895415177719
GJ 180 c,mesoplanet,0.0383,0.2297,0.0816,0.2097,0.4407,0.19699999999999998,1,2.638,91,2.6379482439306043,2.637957928724908
GJ 273 b,mesoplanet,0.03,0.0994,0.2938,0.2118,0.365,0.7989,1,2.7331,92,2.732932440900759,2.733076241346584
GJ 273 c,non-habitable,0.1343,0.2528,0.065,0.131,0.41700000000000004,0.8687,1,4.496,98,4.495664482036228,4.496008502535195
GJ 422 b,mesoplanet,0.0833,0.1366,0.0838,0.2865,0.4097,0.5983,1,2.2188,88,2.2188123321610105,2.2188187254556566
GJ 433 b,non-habitable,0.0622,0.1545,0.0734,0.0783,0.6315,0.8624,1,2.3679,84,2.367891993938559,2.3678942000879286
GJ 536 b,non-habitable,0.0873,0.2476,0.1235,0.2132,0.3283,0.9019,1,2.5165,85,2.5164534149635833,2.516471547144743
GJ 581 c,non-habitable,0.0106,0.09300000000000001,0.2087,0.1219,0.5658,0.281,1,2.6513,84,2.6512744201716014,2.651285516220273
GJ 581 e,non-habitable,0.2954,0.3047,0.1201,0.006,0.2738,0.9902,1,6.0068,93,6.006763468188295,6.006805359214334
GJ 649 c,non-habitable,0.0524,0.0063,0.4094,0.1555,0.3764,0.5573,1,4.8542,106,4.8539526001027635,4.854249428568668
GJ 667 C b,non-habitable,0.3552,0.0588,0.1158,0.0704,0.3996,0.1843,1,3.1701,82,3.1701156613480923,3.1701336871904293
GJ 667 C c,mesoplanet,0.3057,0.0202,0.0159,0.2606,0.3976,0.6108,1,1.3792,83,1.379158978639247,1.3791629595060035
GJ 667 C d,non-habitable,0.4995,0.1606,0.0422,0.0504,0.2473,0.1147,1,1.536,77,1.5359234639018204,1.5359776457298775
GJ 667 C e,psychroplanet,0.2966,0.0665,0.0123,0.5956,0.028999999999999998,0.2237,1,1.3476,68,1.3475641072634938,1.3475648801958007
GJ 667 C f,psychroplanet,0.0225,0.0083,0.0044,0.5081,0.4567,0.0509,1,1.5437,83,1.5436380483553196,1.5437167650087815
GJ 667 C g,non-habitable,0.3155,0.1583,0.004,0.10800000000000001,0.4143,0.626,1,2.6438,92,2.643726790276184,2.64377371568195
GJ 676 A d,non-habitable,0.1368,0.0262,0.0906,0.4113,0.3351,0.8808,1,3.9714,92,3.9713158942256634,3.9714476652669073
GJ 682 b,non-habitable,0.2232,0.0544,0.0293,0.3697,0.3234,0.8253,1,2.5179,95,2.5178915926667673,2.517917829705577
GJ 682 c,psychroplanet,0.1197,0.2818,0.0126,0.1437,0.4422,0.1639,1,2.9089,87,2.908861167008547,2.908865826401976
GJ 832 c,mesoplanet,0.3673,0.0824,0.0292,0.3516,0.1695,0.40299999999999997,1,1.6621,77,1.6621195433400702,1.6621272207483981
GJ 876 d,non-habitable,0.0833,0.0623,0.2021,0.2848,0.3675,0.8209,1,2.9231,86,2.922846554739321,2.923138541320177
GJ 1132 b,non-habitable,0.3754,0.1518,0.32799999999999996,0.1267,0.0181,0.8709,1,1.3764,84,1.376425680055575,1.3764305819337566
GJ 1214 b,non-habitable,0.0058,0.3607,0.2148,0.0051,0.4136,0.9636,1,6.9714,95,6.9713083792579775,6.9713789970818345
GJ 3138 b,non-habitable,0.25,0.1474,0.0321,0.1954,0.3751,0.6990000000000001,1,3.1018,91,3.101801451804729,3.1018249177493717
GJ 3138 c,non-habitable,0.2613,0.0611,0.0587,0.1075,0.5113,0.0984,1,4.1728,89,4.172762305041917,4.172788279735897
GJ 3293 d,psychroplanet,0.2474,0.057999999999999996,0.076,0.0023,0.6163,0.5379999999999999,1,4.5067,90,4.506650992635854,4.506667469596914
GJ 3293 e,non-habitable,0.0836,0.2108,0.1076,0.0098,0.5882,0.4996,1,6.3324,96,6.332292067095474,6.332357375761941
GJ 3323 b,mesoplanet,0.1121,0.065,0.0552,0.408,0.3598,0.9378,1,5.4484,87,5.448029658972528,5.44836883643602
GJ 3323 c,non-habitable,0.2948,0.13,0.1299,0.1756,0.2696,0.9476,1,3.428,87,3.427581071945252,3.427975938650615
GJ 3341 b,non-habitable,0.1076,0.2171,0.2505,0.0202,0.4045,0.9202,1,7.8419,91,7.841677368291636,7.84192860107066
GJ 3634 b,non-habitable,0.057999999999999996,0.0277,0.2886,0.1759,0.4497,0.1203,1,2.9923,77,2.992249480473042,2.992253270406924
GJ 3998 b,non-habitable,0.3004,0.0636,0.3471,0.22399999999999998,0.0648,0.408,1,1.4361,91,1.4361206195862772,1.4361284420707743
GJ 3998 c,non-habitable,0.0249,0.0134,0.1399,0.1762,0.6456,0.3028,1,2.4387,80,2.4385779395231397,2.4387033553664996
HD 1461 b,non-habitable,0.2701,0.23,0.3795,0.1062,0.0141,0.7451,1,2.3194,93,2.3193096700481712,2.319357708377278
HD 1461 c,non-habitable,0.1837,0.1639,0.3339,0.2727,0.0458,0.9428,1,1.9509999999999998,90,1.9509979700054867,1.951022854876703
HD 3167 b,non-habitable,0.2237,0.1565,0.3535,0.2606,0.0058,0.2798,1,2.4605,89,2.4604867781692286,2.460503102875522
HD 7924 c,non-habitable,0.0613,0.2349,0.102,0.2459,0.3559,0.6971,1,3.0406,100,3.040570652656109,3.0405844916531763
HD 7924 d,non-habitable,0.3103,0.08900000000000001,0.1143,0.1724,0.3141,0.955,1,4.9834,102,4.982779837955762,4.983416854774985
HD 20794 b,non-habitable,0.2966,0.1292,0.3131,0.1375,0.1235,0.977,1,1.4881,75,1.48805461038326,1.4880553284957643
HD 20794 c,non-habitable,0.1596,0.1363,0.4351,0.1928,0.0762,0.7059,1,1.3759,99,1.3758490685246003,1.3758743375480598
HD 20794 d,non-habitable,0.2919,0.2852,0.1429,0.2359,0.044000000000000004,0.8717,1,1.3940000000000001,88,1.3939340188039464,1.3939502988256665
HD 39194 b,non-habitable,0.2733,0.0329,0.0097,0.2726,0.4114,0.4272,1,4.4166,92,4.416543730292897,4.416612708946264
HD 39194 c,non-habitable,0.1451,0.1545,0.0181,0.083,0.5993,0.8466,1,4.3834,89,4.383368474497753,4.3834182380956905
HD 39194 d,non-habitable,0.2756,0.0908,0.2958,0.0001,0.3376,0.7694,1,4.585,96,4.584716225560541,4.5849899666711
HD 40307 b,non-habitable,0.2069,0.0678,0.3679,0.0739,0.2835,0.9066,1,4.7669,91,4.7668838840394825,4.76691098934667
HD 40307 c,non-habitable,0.0573,0.0029,0.183,0.2979,0.4589,0.0544,1,2.6111,79,2.611046927814634,2.6110526685483535
HD 40307 d,non-habitable,0.2789,0.1354,0.0853,0.0271,0.4733,0.8779,1,2.8338,79,2.833822385068512,2.8338434051485555
HD 40307 e,non-habitable,0.1014,0.196,0.2104,0.0107,0.4816,0.8328,1,4.6776,87,4.677583111773123,4.6775913607038255
HD 40307 f,non-habitable,0.2847,0.036000000000000004,0.2975,0.3379,0.044000000000000004,0.5708,1,1.4509,76,1.4509351298287498,1.4509383096787698
HD 40307 g,psychroplanet,0.066,0.4244,0.0693,0.079,0.3613,0.9926,1,6.9756,85,6.9753142892869135,6.975571748197089
HD 85512 b,non-habitable,0.0099,0.0542,0.4261,0.1026,0.4073,0.8345,1,3.1947,84,3.1947350856996475,3.1947440010127552
HD 93385 b,non-habitable,0.2329,0.0665,0.2874,0.0996,0.3136,0.9533,1,4.3476,92,4.347548129629665,4.347573871306048
HD 96700 b,non-habitable,0.0685,0.0203,0.418,0.1534,0.3398,0.3334,1,3.8062,85,3.8061169489498563,3.8062269363318597
