Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
55 Cnc e,non-habitable,0.1475,0.0935,0.2877,0.1185,0.3527,0.0744,0.9719,3.1464,83
61 Vir b,non-habitable,0.1494,0.2531,0.1052,0.084,0.4084,0.2439,0.9497,3.0161,93
alf Cen B b,non-habitable,0.1214,0.2502,0.2909,0.0565,0.281,0.9201,0.9835,1.4485,86
BD+20 594 b,non-habitable,0.3264,0.1993,0.28,0.1467,0.0476,0.6234,0.7393,1.5945,85
BD-06 1339 b,non-habitable,0.3741,0.2375,0.214,0.0758,0.0986,0.8472,0.7703,1.7077,87
CoRoT-7 b,non-habitable,0.0049,0.3157,0.3301,0.2069,0.1424,0.888,0.7431,2.1488,87
CoRoT-7 c,non-habitable,0.1755,0.2327,0.3093,0.2142,0.0684,0.8283,0.8869,1.9692,94
EPIC-206011691 b,non-habitable,0.2782,0.1693,0.2482,0.2728,0.0314,0.5666,0.8053,1.3868,84
EPIC-206011691 c,non-habitable,0.2566,0.181,0.4476,0.0974,0.0173,0.4299,0.7261,1.4151,89
EPIC 201295312 b,non-habitable,0.21,0.2067,0.1991,0.1169,0.2673,0.7324,0.9673,3.3432,88
EPIC 201445392 c,non-habitable,0.3294,0.0773,0.2889,0.0903,0.2141,0.5821,0.9349,1.8037,93
EPIC 201637175 b,non-habitable,0.2504,0.2572,0.2313,0.1349,0.1262,0.6842,0.9399,6.6692,96
EPIC 201713348 b,non-habitable,0.4142,0.0074,0.3764,0.1883,0.0138,0.5051,0.9885,2.1967,93
EPIC 203826436 b,non-habitable,0.243,0.2069,0.3628,0.0339,0.1534,0.8274,0.9024,1.7398,83
EPIC 204221263 b,non-habitable,0.1102,0.0062,0.4262,0.4096,0.0479,0.2964,0.7673,1.8044,95
EPIC 204221263 c,non-habitable,0.2183,0.1483,0.2603,0.2078,0.1654,0.699,0.9259,1.9432,88
EPIC 211822797 b,non-habitable,0.0147,0.069,0.1249,0.2708,0.5206,0.1519,0.9471,4.7034,92
EPIC 211913977 b,non-habitable,0.2119,0.002,0.2409,0.277,0.2682,0.6167,0.8693,2.5989,84
EPIC 211969807 b,non-habitable,0.0072,0.1104,0.3894,0.3628,0.1302,0.289,0.9972,2.8028,96
EPIC 211970147 b,non-habitable,0.0785,0.2637,0.277,0.107,0.2739,0.3366,0.9766,2.2658,85
EPIC 220674823 b,non-habitable,0.2173,0.157,0.2042,0.2683,0.1532,0.9087,0.9037,2.1686,93
GJ 15 A b,non-habitable,0.3012,0.0922,0.0862,0.2384,0.2819,0.9723,0.9458,1.1379,83
GJ 163 c,psychroplanet,0.2371,0.259,0.1261,0.2055,0.1724,0.81,0.9423,2.0188,96
GJ 176 b,non-habitable,0.3039,0.0006,0.3753,0.2706,0.0496,0.4668,0.8085,1.5175,85
