Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter,ScoreMin,ScoreMax
55 Cnc e,non-habitable,0.1712,0.21899999999999997,0.2606,0.0527,0.2965,0.9736,0.9279,3.0811,96,3.0810402555336114,3.081063476946693
61 Vir b,non-habitable,0.1392,0.121,0.1337,0.4524,0.1537,0.6872,0.8512,2.2355,91,2.2355319874843653,2.2355487986501403
alf Cen B b,non-habitable,0.0142,0.0776,0.4228,0.4024,0.083,0.8373,0.8494,1.814,93,1.8140268512791669,1.8140312623836317
BD+20 594 b,non-habitable,0.3119,0.2247,0.1542,0.2337,0.0756,0.9373,0.8717,1.7807,82,1.7806891453395048,1.7806951701326559
BD-06 1339 b,non-habitable,0.2119,0.2678,0.2915,0.0246,0.2042,0.9007,0.8943,1.814,85,1.813947602122422,1.8139533641922034
CoRoT-7 b,non-habitable,0.1762,0.1697,0.3754,0.1089,0.1698,0.9463,0.7916,2.3649,93,2.3648454663953395,2.3648575693001708
CoRoT-7 c,non-habitable,0.2569,0.1971,0.1609,0.3781,0.0069,0.5415,0.748,1.7116,88,1.7116243491062204,1.7116386820327067
EPIC-206011691 b,non-habitable,0.2348,0.0917,0.1594,0.4558,0.0583,0.915,0.737,1.3608,84,1.3608143173645173,1.360831446200585
EPIC-206011691 c,non-habitable,0.1831,0.2842,0.3242,0.2062,0.0022,0.7355,0.6251,1.3769999999999998,80,1.3770113347287585,1.3770245665400154
EPIC 201295312 b,non-habitable,0.4873,0.0445,0.0486,0.1282,0.2914,0.5225,0.8792,3.1102,100,3.110228656863427,3.110238945685216
EPIC 201445392 c,non-habitable,0.1523,0.289,0.3323,0.2103,0.0161,0.447,0.7792,2.0927,95,2.0927297346731506,2.0927444385992793
EPIC 201637175 b,non-habitable,0.085,0.3567,0.2669,0.2388,0.0526,0.9774,0.8062,7.29,97,7.289915509763744,7.290027526454903
EPIC 201713348 b,non-habitable,0.0766,0.0895,0.6528,0.0596,0.1215,0.301,0.7040000000000001,1.7063,89,1.7062737938058667,1.7063039884285012
EPIC 203826436 b,non-habitable,0.0977,0.2588,0.2799,0.1986,0.165,0.9331,0.9012,1.6308,85,1.630752753142794,1.630785140959848
EPIC 204221263 b,non-habitable,0.1059,0.1095,0.2278,0.5439,0.0129,0.8073,0.9527,1.9856,88,1.985552840055471,1.9855861272195763
EPIC 204221263 c,non-habitable,0.127,0.2657,0.1212,0.3232,0.1629,0.733,0.8807,1.8157,90,1.8157242815510788,1.8157311404453522
EPIC 211822797 b,non-habitable,0.1328,0.1028,0.1431,0.364,0.2573,0.7847,0.8844,3.4677,86,3.467702657031321,3.467739411715522
EPIC 211913977 b,non-habitable,0.1983,0.247,0.0582,0.1394,0.3571,0.9362,0.9804,3.1527,94,3.152647766439024,3.152673445802322
EPIC 211969807 b,non-habitable,0.0028,0.2395,0.1351,0.3114,0.3112,0.6414,0.8799,3.4089,93,3.408833807999836,3.4088730914379983
EPIC 211970147 b,non-habitable,0.0287,0.2805,0.1214,0.2296,0.3398,0.9003,0.8838,2.4897,83,2.4893254842027326,2.4897210901056033
EPIC 220674823 b,non-habitable,0.0996,0.2921,0.3794,0.0594,0.1695,0.8532,0.9882,3.1897,89,3.1896279718077167,3.189717999639237
GJ 15 A b,non-habitable,0.2855,0.252,0.1438,0.2747,0.0441,0.8652,0.9511,1.4152,89,1.4151356933166443,1.415151779519111
GJ 163 c,psychroplanet,0.1253,0.081,0.3053,0.1296,0.3587,0.8069,0.8284,2.2382,94,2.238208140981261,2.2382206162219305
GJ 176 b,non-habitable,0.34,0.09699999999999999,0.2748,0.2539,0.0343,0.7962,0.9954,1.7388,80,1.7388005140359777,1.7388267160806112
GJ 180 b,mesoplanet,0.2531,0.2019,0.028999999999999998,0.3027,0.2133,0.6827,0.9261,2.417,94,2.416836507273416,2.417024697736497
GJ 180 c,mesoplanet,0.1058,0.2982,0.1689,0.1517,0.2755,0.8675,0.9429,2.2546,93,2.254485216271781,2.254569784594751
GJ 273 b,mesoplanet,0.0806,0.0096,0.0961,0.3115,0.5022,0.7914,0.7652,2.5860000000000003,87,2.5859576465531537,2.5859707612020744
GJ 273 c,non-habitable,0.094,0.0554,0.3835,0.0054,0.4618,0.6169,0.8699,3.8007,97,3.800570283462178,3.8006549978668622
GJ 422 b,mesoplanet,0.5018,0.0757,0.2404,0.0104,0.1718,0.9841,0.9399,1.7805,78,1.78050025216954,1.7805051008316137
GJ 433 b,non-habitable,0.1721,0.1014,0.2802,0.0314,0.4149,0.3405,0.9313,1.9358,86,1.9358011998956186,1.9358210115895549
GJ 536 b,non-habitable,0.0862,0.2427,0.1483,0.2698,0.2529,0.6788,0.9551,2.1444,90,2.14435413179456,2.1443662023524976
GJ 581 c,non-habitable,0.19899999999999998,0.0273,0.2503,0.0898,0.4335,0.7999,0.6822,1.8952,90,1.8951805666327761,1.895182986260419
GJ 581 e,non-habitable,0.0196,0.2642,0.040999999999999995,0.2181,0.457,0.8417,0.752,4.9671,91,4.967055382916201,4.967092504290485
GJ 649 c,non-habitable,0.1864,0.0789,0.24,0.2764,0.2183,0.0533,0.9358,2.7492,90,2.7491618100778834,2.749186440803993
GJ 667 C b,non-habitable,0.1132,0.3121,0.0911,0.2224,0.2612,0.4316,0.9971,2.53,88,2.529939361230619,2.5299506259974556
GJ 667 C c,mesoplanet,0.4957,0.1226,0.2594,0.102,0.0204,0.4666,0.7948,1.2469,76,1.246855761450691,1.246859835306479
GJ 667 C d,non-habitable,0.3022,0.0131,0.0604,0.34299999999999997,0.2812,0.2121,0.9652,1.6088,77,1.6088445335255739,1.6088475680675414
GJ 667 C e,psychroplanet,0.2803,0.16,0.0907,0.21100000000000002,0.2581,0.8603,0.9372,1.2018,81,1.2017830686745632,1.2017844589902484
GJ 667 C f,psychroplanet,0.3152,0.2828,0.1581,0.0257,0.2182,0.8651,0.9667,1.2684,90,1.2683885181477894,1.2683911081975565
GJ 667 C g,non-habitable,0.1126,0.2214,0.0078,0.2595,0.3987,0.5485,0.9212,2.3463,91,2.3462702811351255,2.3462873488598746
GJ 676 A d,non-habitable,0.0985,0.1405,0.2792,0.2282,0.2536,0.113,0.7581,2.1675,75,2.167457154999152,2.1675051511233803
GJ 682 b,non-habitable,0.2978,0.1596,0.168,0.1165,0.2582,0.7186,0.9419,2.0456,85,2.0456081173393446,2.045647870102037
GJ 682 c,psychroplanet,0.2607,0.0154,0.1056,0.276,0.3422,0.9836,0.7715,2.4530000000000003,92,2.4529980539399547,2.4530071665928843
GJ 832 c,mesoplanet,0.3732,0.0642,0.2086,0.1039,0.2501,0.3272,0.9662,1.4993,74,1.4992686481416053,1.4993367114192369
GJ 876 d,non-habitable,0.386,0.1862,0.0751,0.0271,0.3256,0.8274,0.988,2.5821,85,2.5821218246323188,2.5821328882847623
GJ 1132 b,non-habitable,0.1573,0.359,0.376,0.1056,0.0021,0.0239,0.9317,1.2379,106,1.237709803521065,1.2379261429439197
GJ 1214 b,non-habitable,0.4011,0.0825,0.0214,0.1916,0.3033,0.8917,0.8902,4.8754,96,4.875376127738781,4.875402867754835
GJ 3138 b,non-habitable,0.3424,0.0985,0.1825,0.0232,0.3535,0.9435,0.5843,1.9946,88,1.9945157119675077,1.9945804633868038
GJ 3138 c,non-habitable,0.1375,0.1594,0.0334,0.1638,0.5058,0.2534,0.945,4.0006,90,4.000108070743628,4.00059074136561
GJ 3293 d,psychroplanet,0.1084,0.4035,0.0353,0.0504,0.4024,0.7166,0.8629,2.8376,92,2.8375704454937383,2.8376193009247728
GJ 3293 e,non-habitable,0.0581,0.2537,0.1747,0.2312,0.2823,0.9417,0.8906,3.6358,90,3.635589037197113,3.635750093919985
GJ 3323 b,mesoplanet,0.1638,0.3138,0.1786,0.0195,0.3242,0.2212,0.9192,2.6218,84,2.62173244013295,2.621799974450845
GJ 3323 c,non-habitable,0.2737,0.1344,0.0438,0.1195,0.4286,0.5003,0.9893,3.8481,86,3.848002558114332,3.8480509029694305
GJ 3341 b,non-habitable,0.0915,0.1558,0.1889,0.1631,0.4008,0.5029,0.9099,5.1094,97,5.109165822536215,5.10944620634316
GJ 3634 b,non-habitable,0.0107,0.1061,0.0782,0.2778,0.5271,0.4331,0.797,2.5165,100,2.516351636285583,2.5165146424072917
GJ 3998 b,non-habitable,0.0231,0.0231,0.4621,0.3798,0.1119,0.7936,0.4959,1.2788,87,1.2787920134825534,1.2788255797764663
